# Drug name and concentration: 10: Chlorpromazine at 380μM
# GNa:
#   EC50/IC50: 4536
#   Hill Coefficient: 1.995
# GNaL:
#   EC50/IC50: 4560
#   Hill Coefficient: 0.9379
# Gto:
#   EC50/IC50: 17620000
#   Hill Coefficient: 0.3654
# GKr:
#   EC50/IC50: 975.2
#   Hill Coefficient: 0.8281
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: 9270
#   Hill Coefficient: 0.6878
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 8192
#   Hill Coefficient: 0.8441
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.4562,-87.8857,255.96,317.66,261.42,239.74,77.92,678.94,273.35,293.076,376.584,83.4999,361.28,0.0520406,0,0,1,1.21821,1.05393,0.913886,1.26756,0.804844,1.12234,0.859248,0.779526,1.19456
2,40.9979,-88.0654,270.115,395.51,315.24,282.52,112.99,812.73,376.64,170.081,246.553,76.4621,417.22,0.0527357,0,0,2,0.859505,0.727026,1.15043,0.73177,0.718409,0.952398,0.904114,1.11711,0.950956
3,42.3079,-88.0257,264.965,356.92,294.53,268.4,88.52,810.45,374.69,161.145,233.788,72.6337,453.53,0.0388202,0,0,3,0.903501,1.14288,1.01853,1.06731,0.850393,1.20389,1.18201,1.09788,1.2021
4,41.0322,-87.9644,261.776,343.58,274.76,250.11,93.47,763.65,336.64,194.376,271.501,77.1153,420.07,0.0513487,0,0,4,1.19113,0.995855,1.07684,1.10206,0.845227,0.783558,0.998123,0.881293,1.06624
5,41.3268,-88.0186,265.578,354.69,286.98,258.06,96.63,843.63,394.47,138.541,212.155,73.6043,488.94,0.0609785,0,0,5,0.972621,0.706249,0.740344,0.837409,0.775485,1.21172,0.955822,0.979173,0.852712
6,42.2927,-88.0731,269.907,381.63,307.15,276.7,104.93,772.38,344.48,202.812,281.785,78.9621,390.75,0.0442072,0,0,6,1.04912,0.935367,0.932392,0.826492,0.870958,1.05086,0.855765,1.17963,1.07136
7,41.9185,-88.0526,266.812,365.78,302.14,274.7,91.08,808.58,374.28,164.917,237.768,72.8419,442.8,0.0327123,0,0,7,1.25201,1.28119,1.28974,0.989252,1.1515,1.27113,1.17199,1.19947,1.22878
9,41.6798,-88.0623,268.457,323.23,263.1,240.84,82.39,859.67,401.87,120.154,188.604,68.4432,536.44,0.055701,0,0,9,0.90843,0.987517,0.971598,1.27178,0.701533,0.89146,1.25293,1.12247,1.04307
11,40.6585,-88.015,264.825,310.43,250.72,228.34,82.09,750.95,322.84,199.437,279.442,79.9946,440.52,0.0581588,0,0,11,1.22666,1.09492,1.18313,1.22316,1.12346,0.948665,0.800262,0.999726,0.921689
12,41.6546,-87.9697,261.504,379.11,307.79,276.13,102.98,769.65,341.14,207.09,288.075,80.9718,390.54,0.036902,0,0,12,0.822745,1.23737,0.825505,0.874135,0.855546,1.18036,0.792722,0.911366,0.905793
13,41.5422,-88.0771,270.973,381.5,300.35,269.9,111.6,845.3,399.01,140.549,212.767,72.209,463.8,0.0557957,0,0,13,0.852197,0.700357,0.993485,0.760492,1.01555,0.845803,1.06606,1.1433,1.00276
14,42.2339,-88.1101,273.185,321.27,259.07,234.66,86.61,788.43,351.01,170.356,248.364,77.9968,467.16,0.065783,0,0,14,1.18362,0.745544,0.747382,1.02417,0.892671,1.1152,0.777852,1.25763,0.909594
15,41.9632,-87.8671,254.658,388.42,316.23,285.85,102.57,747.84,326.98,227.929,305.42,77.4799,359.42,0.032186,0,0,15,0.928393,1.157,0.903719,0.895163,0.88146,1.13148,1.14593,0.762409,1.24626
17,42.3817,-87.9808,262.58,395.56,310.12,279.84,115.72,740.14,319.12,235.221,313.747,78.5151,344.58,0.0334018,0,0,17,1.13743,1.13304,0.975475,0.851956,1.18714,0.72172,1.04151,0.93413,1.28637
18,40.5197,-88.0232,266.218,364.48,292.82,264.91,99.57,822.34,381.36,151.96,224.826,72.8564,457.86,0.0550852,0,0,18,1.21351,0.790437,1.29546,0.870834,0.960256,0.960004,1.10432,1.02463,1.02277
