# Drug name and concentration: 1: Cisapride at 2.6μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: 219100
#   Hill Coefficient: 0.243
# GKr:
#   EC50/IC50: 11.27
#   Hill Coefficient: 0.621
# GKs:
#   EC50/IC50: 81170000
#   Hill Coefficient: 0.2921
# GK1:
#   EC50/IC50: 29480
#   Hill Coefficient: 0.5133
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 9267000
#   Hill Coefficient: 0.4261
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.8279,-87.8757,254.587,317.27,263.42,241.98,75.29,663.41,262.26,319.88,404.13,84.2431,346.14,0.0479582,0,0,1,1.21821,1.05393,0.913886,1.26756,0.804844,1.12234,0.859248,0.779526,1.19456
2,41.3981,-88.0573,268.976,393.99,317.2,285.04,108.95,794.62,362.83,185.917,263.361,77.4336,400.63,0.0486844,0,0,2,0.859505,0.727026,1.15043,0.73177,0.718409,0.952398,0.904114,1.11711,0.950956
3,42.8232,-88.0149,263.999,357.04,297.07,271.26,85.78,790.59,361.23,177.649,251.321,73.6629,433.55,0.0335331,0,0,3,0.903501,1.14288,1.01853,1.06731,0.850393,1.20389,1.18201,1.09788,1.2021
4,41.4874,-87.9535,261.119,343.42,277.43,253.14,90.28,744.45,323.29,214.581,292.761,78.1704,401.03,0.0470063,0,0,4,1.19113,0.995855,1.07684,1.10206,0.845227,0.783558,0.998123,0.881293,1.06624
5,41.7696,-88.0105,264.56,353.26,288.46,259.99,93.27,826.12,382.72,150.623,225.21,74.5769,472.86,0.0574902,0,0,5,0.972621,0.706249,0.740344,0.837409,0.775485,1.21172,0.955822,0.979173,0.852712
6,42.7019,-88.064,269.15,381.46,310.14,280.14,101.32,753.52,328.44,223.394,303.368,79.964,372.06,0.0394441,0,0,6,1.04912,0.935367,0.932392,0.826492,0.870958,1.05086,0.855765,1.17963,1.07136
7,42.5241,-88.0416,265.657,366.27,304.92,277.73,88.54,789.23,360.92,181.588,255.444,73.8466,422.96,0.0267852,0,0,7,1.25201,1.28119,1.28974,0.989252,1.1515,1.27113,1.17199,1.19947,1.22878
9,42.2004,-88.0522,267.047,322.32,264.54,242.54,79.78,844.25,392.43,129.34,198.671,69.3243,521.93,0.0513083,0,0,9,0.90843,0.987517,0.971598,1.27178,0.701533,0.89146,1.25293,1.12247,1.04307
11,41.0746,-88.0048,264.224,310.81,253.56,231.48,79.33,733.74,311.23,218.541,299.555,81.0043,422.93,0.0537366,0,0,11,1.22666,1.09492,1.18313,1.22316,1.12346,0.948665,0.800262,0.999726,0.921689
12,42.0967,-87.9596,260.672,379.79,311.29,279.99,99.8,751.08,324.83,228.318,310.377,82.0465,371.29,0.0316551,0,0,12,0.822745,1.23737,0.825505,0.874135,0.855546,1.18036,0.792722,0.911366,0.905793
