# Drug name and concentration: 7: Dofetilide at 14μM
# GNa:
#   EC50/IC50: 380.5
#   Hill Coefficient: 0.892
# GNaL:
#   EC50/IC50: 753100
#   Hill Coefficient: 0.2597
# Gto:
#   EC50/IC50: 18.82
#   Hill Coefficient: 0.7712
# GKr:
#   EC50/IC50: 6.125
#   Hill Coefficient: 1.079
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: 0.765
#   Hill Coefficient: 394.4
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 260.3
#   Hill Coefficient: 1.163
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,40.7943,-76.1281,83.4247,549.43,324.19,287.86,261.57,589.85,204.15,537.59,616.204,78.5857,40.42,0.0142282,0,0,1,1.21821,1.05393,0.913886,1.26756,0.804844,1.12234,0.859248,0.779526,1.19456
2,36.2152,-68.2866,81.7925,623.98,346.84,305.05,318.93,902.81,462.64,157.096,234.842,77.693,278.83,-0.0012943,0,0,2,0.859505,0.727026,1.15043,0.73177,0.718409,0.952398,0.904114,1.11711,0.950956
3,41.2699,-72.6818,82.6364,578.04,358.8,322.93,255.11,715.57,261.95,299.044,372.734,73.8335,137.53,-0.00405475,0,0,3,0.903501,1.14288,1.01853,1.06731,0.850393,1.20389,1.18201,1.09788,1.2021
4,39.4727,-72.289,82.5255,538.72,334.12,300.38,238.34,709.94,265.63,300.024,377.67,77.8834,171.22,-7.25707E-05,0,0,4,1.19113,0.995855,1.07684,1.10206,0.845227,0.783558,0.998123,0.881293,1.06624
5,34.3541,-68.2076,81.685,566.37,335.26,297.55,268.82,894.22,453.76,144.153,219.812,75.6049,327.85,0.00488071,0,0,5,0.972621,0.706249,0.740344,0.837409,0.775485,1.21172,0.955822,0.979173,0.852712
6,39.0797,-69.842,82.1128,581.01,322.8,284.64,296.37,829.15,387.84,199.918,281.194,81.2857,248.14,-0.00400507,0,0,6,1.04912,0.935367,0.932392,0.826492,0.870958,1.05086,0.855765,1.17963,1.07136
7,41.7516,-75.0756,83.2708,629.02,359.99,323.29,305.73,670,238.79,356.797,428.979,72.1876,40.98,0.00482189,0,0,7,1.25201,1.28119,1.28974,0.989252,1.1515,1.27113,1.17199,1.19947,1.22878
9,39.4115,-71.5381,82.6965,505.74,330.15,297.52,208.22,788.9,347.73,198.181,270.371,72.221,283.16,0.0044555,0,0,9,0.90843,0.987517,0.971598,1.27178,0.701533,0.89146,1.25293,1.12247,1.04307
11,38.8431,-76.2087,83.5312,529.59,311.13,278.39,251.2,626.99,222.22,420.332,498.273,77.9006,97.4,0.0229023,0,0,11,1.22666,1.09492,1.18313,1.22316,1.12346,0.948665,0.800262,0.999726,0.921689
12,38.146,-71.442,82.3784,581.22,328.91,291.57,289.65,758.53,302.54,260.948,343.106,82.3697,177.31,-0.00675936,0,0,12,0.822745,1.23737,0.825505,0.874135,0.855546,1.18036,0.792722,0.911366,0.905793
