# Drug name and concentration: 2: Diltiazem at 244μM
# GNa:
#   EC50/IC50: 110900
#   Hill Coefficient: 0.7022
# GNaL:
#   EC50/IC50: 21870
#   Hill Coefficient: 0.6779
# Gto:
#   EC50/IC50: 2822000000
#   Hill Coefficient: 0.1696
# GKr:
#   EC50/IC50: 13140
#   Hill Coefficient: 0.9119
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 112.1
#   Hill Coefficient: 0.7142
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,38.6246,-87.9451,258.722,213.81,171.92,155.2,58.61,870.18,375.27,91.8025,159.954,68.1443,656.37,0.0805439,0,0,1,1.21821,1.05393,0.913886,1.26756,0.804844,1.12234,0.859248,0.779526,1.19456
2,39.0601,-88.1059,272.25,296.32,235.63,210.27,86.05,943.38,434.48,75.4068,140.76,65.3473,647.06,0.0794769,0,0,2,0.859505,0.727026,1.15043,0.73177,0.718409,0.952398,0.904114,1.11711,0.950956
3,39.4806,-88.0711,267.713,262.63,216.35,196.34,66.29,946,427.48,70.0346,131.419,61.3796,683.37,0.0687291,0,0,3,0.903501,1.14288,1.01853,1.06731,0.850393,1.20389,1.18201,1.09788,1.2021
4,38.5796,-88.0132,264.492,241.59,190.62,171.53,70.06,914.51,401.65,75.969,139.952,63.9782,672.92,0.0790289,0,0,4,1.19113,0.995855,1.07684,1.10206,0.845227,0.783558,0.998123,0.881293,1.06624
5,39.1506,-88.0623,267.977,256.8,205.47,183.11,73.69,949.49,423.04,66.3099,129.206,62.8915,692.69,0.086016,0,0,5,0.972621,0.706249,0.740344,0.837409,0.775485,1.21172,0.955822,0.979173,0.852712
6,39.848,-88.1143,272.598,288.64,232.4,208.3,80.34,929.89,429.08,80.944,147.972,67.0207,641.25,0.0715132,0,0,6,1.04912,0.935367,0.932392,0.826492,0.870958,1.05086,0.855765,1.17963,1.07136
7,39.3763,-88.0947,269.377,282.17,234.38,212.88,69.29,953.28,439.29,71.5334,133.522,61.9839,671.11,0.0603243,0,0,7,1.25201,1.28119,1.28974,0.989252,1.1515,1.27113,1.17199,1.19947,1.22878
9,39.4795,-88.1047,271.27,219.73,175.17,158.28,61.45,951.55,408.69,58.615,116.757,58.1395,731.82,0.0852364,0,0,9,0.90843,0.987517,0.971598,1.27178,0.701533,0.89146,1.25293,1.12247,1.04307
11,38.7894,-88.0605,268.039,216.7,171.2,153.23,63.47,895.52,385.7,79.2731,145.92,66.6403,678.82,0.0831378,0,0,11,1.22666,1.09492,1.18313,1.22316,1.12346,0.948665,0.800262,0.999726,0.921689
12,39.1946,-88.0099,263.584,290.28,236.29,211.24,79.04,932.28,431.88,80.939,149.501,68.5546,642,0.0608224,0,0,12,0.822745,1.23737,0.825505,0.874135,0.855546,1.18036,0.792722,0.911366,0.905793
