# Drug name and concentration: 11: Verapamil at 1215μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 499
#   Hill Coefficient: 1.1
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 202
#   Hill Coefficient: 1.1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,38.6422,-88.0862,270.512,465.43,369.12,319,146.43,1143.07,575.4,42.2404,102.732,60.4866,677.64,0.0372721,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,38.463,-88.0765,269.811,462.91,368.96,319.53,143.38,1149.03,576.42,40.9094,100.336,59.4223,686.12,0.0396139,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,38.265,-88.0649,268.908,466.19,371.49,321.35,144.84,1146.86,576.8,41.5411,101.666,60.1203,680.67,0.0388021,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,38.4008,-88.068,269.167,458.15,365.64,316.82,141.33,1145.22,573.29,41.2044,100.749,59.5401,687.07,0.0406173,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,38.5554,-88.0868,270.605,455.78,363.2,314.72,141.06,1150.71,574.2,39.8486,99.0904,59.2378,694.93,0.0413338,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,38.6365,-88.0934,271.169,459.97,365.55,316.3,143.67,1154.96,576.88,39.3405,98.4278,59.0833,694.99,0.0406485,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,38.3759,-88.0733,269.572,463.91,368.76,319.22,144.69,1153.19,577.32,39.9635,99.1885,59.2211,689.28,0.0408695,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,38.648,-88.0924,270.908,458.7,364.03,315.26,143.44,1146.36,573.62,40.887,100.573,59.6821,687.66,0.0391183,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,38.6697,-88.0908,270.798,469.45,373.06,322.72,146.73,1144.65,578.19,42.4967,103.121,60.6195,675.2,0.0366956,0,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,38.6475,-88.0931,271.039,466.96,370.62,321.16,145.8,1154.8,579.97,40.1214,99.4921,59.3665,687.84,0.0366145,0,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
11,38.356,-88.0596,268.395,467.98,371.67,321.59,146.39,1150.07,578.53,41.0131,101.243,60.2253,682.09,0.0361251,0,0,11,0.999734,1.04267,0.9756,1.03061,0.960446,0.959836,0.978725,0.951318,0.955042
12,38.5895,-88.0854,270.509,457.18,364.4,315.49,141.69,1141.66,572.25,41.8412,102.154,60.3087,684.48,0.0404664,0,0,12,1.02381,0.976382,0.958791,1.04814,0.956711,1.02357,0.965864,1.01815,1.00066
13,38.4522,-88.0834,270.364,466.84,372.34,322.31,144.53,1149.43,578.54,41.258,101.165,59.9028,682.59,0.0390159,0,0,13,1.01865,0.977833,1.03422,0.994956,0.950468,1.01642,0.996444,1.01424,1.00247
14,38.4552,-88.0807,270.159,454.69,361.75,313.33,141.36,1150.88,573.02,39.5511,98.5356,58.9806,696.19,0.0422578,0,0,14,1.03075,0.955669,0.99066,1.02885,1.02624,1.01555,1.04383,1.0041,0.970749
15,38.5648,-88.0815,270.206,461.02,367.26,317.76,143.26,1146.12,575.11,41.3094,101.355,60.0409,685.1,0.0391729,0,0,15,0.967041,0.992206,0.96035,1.01327,0.999814,1.02525,0.985053,1.00987,0.997721
16,38.5497,-88.0869,270.486,463.4,368.62,319.58,143.82,1148.9,576.83,40.9925,100.629,59.6319,685.5,0.036977,0,0,16,0.980933,1.03551,1.02435,1.03885,1.02176,0.97915,1.0186,1.02953,1.02682
