# Drug name and concentration: 12: Ranolazine at 38964μM
# GNa:
#   EC50/IC50: 68770
#   Hill Coefficient: 1.425
# GNaL:
#   EC50/IC50: 7884
#   Hill Coefficient: 0.945
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 8208
#   Hill Coefficient: 0.8576
# GKs:
#   EC50/IC50: 36160000
#   Hill Coefficient: 0.5191
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.3726,-88.0306,267.758,466.28,358.09,311.03,155.25,807.72,363.02,198.113,275.368,77.241,341.44,0.0565679,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,41.2114,-88.0197,266.552,470.07,363.31,315.24,154.83,825.25,381.68,184.086,259.73,75.6307,355.18,0.0560725,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,40.8316,-88.009,265.909,470.69,363.66,315.13,155.56,818.84,373.45,190.287,266.95,76.6482,348.15,0.0569563,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,41.195,-88.0104,265.817,466.88,361.7,314.26,152.62,819.74,376.46,187.788,263.779,75.9771,352.86,0.0562833,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,41.1025,-88.0335,267.88,461.41,357.45,310.67,150.74,838.78,398.04,169.626,244.476,74.8359,377.37,0.0587067,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,41.1,-88.0413,268.452,462.97,357.45,310.14,152.83,846.37,405.03,163.963,238.329,74.3535,383.4,0.0591065,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,40.9175,-88.0182,266.568,472.21,364.29,315.5,156.71,840.39,397.79,171.975,246.928,74.9391,368.18,0.0575256,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,41.2641,-88.0378,268.223,461.21,355.15,309.04,152.17,822.68,382,181.962,257.771,75.7949,361.47,0.0578205,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,41.3744,-88.035,268.129,472.8,363.68,315.62,157.18,808.67,360.97,200.892,278.338,77.4318,335.87,0.0554711,0,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,41.1848,-88.0398,268.337,468.34,359.98,312.53,155.81,835.14,393.55,174.141,249.19,75.0354,366.8,0.0570093,0,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
11,40.8864,-88.0063,265.922,468.09,359.78,311.85,156.24,823.93,380.85,183.982,260.447,76.45,355.84,0.0574767,0,0,11,0.999734,1.04267,0.9756,1.03061,0.960446,0.959836,0.978725,0.951318,0.955042
12,41.2682,-88.0302,267.741,462.86,358.36,311.67,151.19,814.46,371.24,191.535,268.434,76.8848,351.6,0.0575151,0,0,12,1.02381,0.976382,0.958791,1.04814,0.956711,1.02357,0.965864,1.01815,1.00066
13,41.0386,-88.028,267.19,472.68,365.6,316.85,155.83,824.89,379.52,186.17,262.359,76.1752,352.21,0.056472,0,0,13,1.01865,0.977833,1.03422,0.994956,0.950468,1.01642,0.996444,1.01424,1.00247
14,40.9755,-88.0266,267.009,460.91,356.63,309.9,151.01,840.89,400.26,167.206,241.723,74.5038,379.98,0.0591074,0,0,14,1.03075,0.955669,0.99066,1.02885,1.02624,1.01555,1.04383,1.0041,0.970749
15,41.2165,-88.0269,267.072,464.32,358.89,311.67,152.65,820.28,377.47,186.557,262.934,76.3636,355.96,0.0573623,0,0,15,0.967041,0.992206,0.96035,1.01327,0.999814,1.02525,0.985053,1.00987,0.997721
16,41.1968,-88.0318,267.737,465.53,358.79,312.05,153.48,821.34,379.37,184.85,260.685,75.8208,355.81,0.0565635,0,0,16,0.980933,1.03551,1.02435,1.03885,1.02176,0.97915,1.0186,1.02953,1.02682
17,41.1559,-88.0082,265.612,461.73,357.52,311.01,150.72,814.88,373.04,189.502,265.628,76.1117,353.15,0.0568269,0,0,17,0.975087,0.989229,0.983212,1.0226,1.04271,1.0383,1.02573,0.972316,1.02942
18,41.2747,-88.0425,268.649,469.07,361.81,313.39,155.68,830.31,386.79,180.298,256.374,76.0616,361.24,0.0574346,0,0,18,1.02754,0.995301,0.953496,0.979427,0.986711,1.0189,0.973556,1.04535,0.979146
19,40.9411,-88.0072,265.59,462.95,358.46,311.39,151.56,805.37,360.95,199.547,276.948,77.3859,342.42,0.05717,0,0,19,0.988731,1.01524,1.02859,0.995752,1.02946,1.04598,0.969784,0.965667,1.0034
20,40.9844,-88.0149,266.04,460.84,357.88,311.35,149.49,820,378.62,184.974,260.886,75.898,359.16,0.0569522,0,0,20,0.963064,1.04882,1.03119,1.03474,1.02833,1.04929,1.02087,0.986984,1.00852
21,41.0072,-88.0068,265.55,474.64,367.52,317.74,156.9,836.82,392.61,176.895,252.178,75.2686,362.18,0.0564111,0,0,21,0.992863,0.950997,0.966825,0.967273,0.955106,1.04376,1.03602,0.957388,0.985727
22,41.0547,-88.0025,265.296,472.89,366.24,317.56,155.33,801.23,352.18,208.881,286.674,77.7784,328.34,0.0546845,0,0,22,0.981055,1.03302,1.03266,0.97651,0.977462,1.04777,0.975026,0.960767,1.03846
23,40.9765,-88.0323,267.802,470.96,361.21,312.45,158.51,853.47,411.01,160.575,234.569,73.9809,382.51,0.0588052,0,0,23,0.970209,0.957814,0.981959,0.968216,1.03496,0.960786,1.04909,1.01193,0.952645
24,40.8928,-88.0158,266.183,468.49,361.76,313.09,155.4,834.27,391.65,175.939,251.407,75.4545,365.78,0.0574597,0,0,24,1.01776,1.02488,1.00289,0.96199,1.0303,1.02841,1.01352,0.977776,0.966506
