# Drug name and concentration: 12: Terfenadine at 80μM
# GNa:
#   EC50/IC50: 4803
#   Hill Coefficient: 1.015
# GNaL:
#   EC50/IC50: 20060
#   Hill Coefficient: 0.6011
# Gto:
#   EC50/IC50: 240000
#   Hill Coefficient: 0.2559
# GKr:
#   EC50/IC50: 20.4
#   Hill Coefficient: 0.6118
# GKs:
#   EC50/IC50: 399800
#   Hill Coefficient: 0.543
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 700.4
#   Hill Coefficient: 0.6601
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,42.1,-88.0272,266.387,482.3,377.83,327.24,155.06,888.45,440.78,146.805,221.112,74.2954,406.15,0.0249021,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,41.892,-88.0162,265.552,481.98,380,329.57,152.41,901.54,452.33,137.981,210.841,72.8485,419.56,0.0266042,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,41.4124,-88.0051,264.871,484.45,382.22,331.07,153.38,896.8,448.03,142.062,215.855,73.7815,412.35,0.0265761,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,41.8342,-88.0068,264.93,477.19,377.02,327.53,149.66,895.38,447.09,140.393,213.568,73.1631,418.19,0.0275449,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,41.7029,-88.0292,266.416,473.35,374.48,325.78,147.57,912.48,459.91,128.798,200.952,72.1439,439.13,0.029037,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,41.7502,-88.0368,267.191,477.2,376.26,326.58,150.62,920.64,466.32,125.068,196.792,71.714,443.44,0.0287071,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,41.4941,-88.0147,265.538,483.06,380.93,330.46,152.6,913.91,461.9,130.435,202.698,72.2524,430.85,0.0283847,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,41.9545,-88.0345,266.903,475.24,373.6,324.69,150.55,900.29,450.56,136.345,209.332,72.9771,425.05,0.0268112,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,42.0772,-88.032,266.794,487.29,382.68,331.59,155.7,889.23,441.41,148.529,223.018,74.4771,401.94,0.023852,0,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,41.976,-88.0363,266.915,484.06,380.21,329.92,154.14,912.72,461.13,131.51,203.847,72.3269,428.66,0.0245473,0,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
11,41.6246,-88.0018,264.554,484.71,380.93,329.99,154.72,902.65,452.81,138.222,211.885,73.6521,417.94,0.0249345,0,0,11,0.999734,1.04267,0.9756,1.03061,0.960446,0.959836,0.978725,0.951318,0.955042
12,41.8439,-88.0264,266.317,474.64,375.09,326.12,148.52,891.54,443.49,142.659,216.646,73.9763,416.9,0.027766,0,0,12,1.02381,0.976382,0.958791,1.04814,0.956711,1.02357,0.965864,1.01815,1.00066
13,41.6425,-88.0244,266.175,485.55,383.47,332.43,153.12,902.16,452.75,139.246,212.599,73.3413,416.61,0.026238,0,0,13,1.01865,0.977833,1.03422,0.994956,0.950468,1.01642,0.996444,1.01424,1.00247
14,41.5532,-88.0226,265.985,472.41,373.26,324.6,147.81,913.91,460.73,127.227,199.073,71.8363,441.5,0.0300402,0,0,14,1.03075,0.955669,0.99066,1.02885,1.02624,1.01555,1.04383,1.0041,0.970749
15,41.8919,-88.0227,266.031,478.4,377.26,327.3,151.1,898.19,449.12,139.443,212.968,73.5133,419.79,0.0268359,0,0,15,0.967041,0.992206,0.96035,1.01327,0.999814,1.02525,0.985053,1.00987,0.997721
16,41.9538,-88.0283,266.374,480.44,378.01,328.31,152.13,899.95,450.8,138.3,211.326,73.015,419.51,0.0246173,0,0,16,0.980933,1.03551,1.02435,1.03885,1.02176,0.97915,1.0186,1.02953,1.02682
17,41.843,-88.0043,264.699,474.4,374.34,325.12,149.28,892.06,444.13,141.432,214.719,73.2758,417.66,0.0271737,0,0,17,0.975087,0.989229,0.983212,1.0226,1.04271,1.0383,1.02573,0.972316,1.02942
18,41.9716,-88.0381,267.375,485.04,381.98,330.68,154.36,908.77,458.04,135.362,208.621,73.2484,423.73,0.0260226,0,0,18,1.02754,0.995301,0.953496,0.979427,0.986711,1.0189,0.973556,1.04535,0.979146
19,41.5949,-88.0025,264.615,479.01,378.06,327.56,151.45,885.7,438.34,147.882,222.33,74.4369,406.69,0.025956,0,0,19,0.988731,1.01524,1.02859,0.995752,1.02946,1.04598,0.969784,0.965667,1.0034
20,41.7719,-88.0096,264.959,477.42,377.98,328.26,149.16,898.96,449.9,138.573,211.688,73.1044,421.54,0.0246305,0,0,20,0.963064,1.04882,1.03119,1.03474,1.02833,1.04929,1.02087,0.986984,1.00852
21,41.6543,-88.0024,264.649,486.63,384.55,332.76,153.87,911.5,460.62,133.683,206.255,72.5618,424.87,0.0273978,0,0,21,0.992863,0.950997,0.966825,0.967273,0.955106,1.04376,1.03602,0.957388,0.985727
22,41.8035,-87.9979,264.316,489.27,386.07,333.83,155.44,882.92,435.07,154.086,228.92,74.8223,393.65,0.0228138,0,0,22,0.981055,1.03302,1.03266,0.97651,0.977462,1.04777,0.975026,0.960767,1.03846
23,41.5951,-88.0288,266.512,484.38,379.87,328.92,155.46,926.48,471.22,123.108,194.517,71.3986,442.1,0.028915,0,0,23,0.970209,0.957814,0.981959,0.968216,1.03496,0.960786,1.04909,1.01193,0.952645
24,41.6674,-88.0104,265.131,486.78,383.59,331.57,155.21,912.82,461.34,132.916,205.658,72.7314,426.04,0.0251673,0,0,24,1.01776,1.02488,1.00289,0.96199,1.0303,1.02841,1.01352,0.977776,0.966506
25,41.485,-88.0246,266.172,477.4,377.46,328.11,149.29,902.43,452.42,136.008,209.028,73.0089,425.03,0.0277519,0,0,25,1.03926,0.981943,1.04969,1.03606,0.974731,1.00629,1.00404,1.01342,0.988003
26,41.6963,-88.0173,265.584,482.02,379,328.67,153.35,912.62,460.67,130.767,203.11,72.333,430.6,0.0254084,0,0,26,0.996348,1.03865,1.01561,1.0198,1.03365,0.970867,1.03144,0.993396,0.975072
27,41.7476,-88.0139,265.424,486.69,383.16,331.78,154.91,902.51,453.1,139.01,212.22,73.1988,415.82,0.0250819,0,0,27,1.03727,1.00667,1.01949,0.990195,0.989892,1.0001,1.01271,0.989648,1.00705
