# Drug name and concentration: 13: Cisapride at 65μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: 219100
#   Hill Coefficient: 0.243
# GKr:
#   EC50/IC50: 11.27
#   Hill Coefficient: 0.621
# GKs:
#   EC50/IC50: 81170000
#   Hill Coefficient: 0.2921
# GK1:
#   EC50/IC50: 29480
#   Hill Coefficient: 0.5133
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 9267000
#   Hill Coefficient: 0.4261
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,43.1899,-88.0167,265.713,526.71,404.19,345.52,181.19,857.12,382.45,191.495,268.397,76.8908,330.41,0.0140783,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,43.0289,-88.0052,264.93,526.86,406.95,347.93,178.93,871.2,401.65,178.893,254.315,75.4114,344.34,0.0157469,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,42.5926,-87.9944,264.179,529.69,409.58,349.66,180.03,867.52,393.38,184.123,260.481,76.3467,337.83,0.0158305,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,42.9573,-87.9957,264.297,522.13,404.46,346.53,175.6,864,394.98,182.763,258.551,75.7761,341.87,0.0166266,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,42.8982,-88.0187,265.894,516.98,401.05,344.03,172.95,882.61,426.37,165.029,239.709,74.6692,365.63,0.0183148,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,42.9562,-88.0265,266.396,520.11,401.8,343.71,176.4,891.67,437.53,159.28,233.478,74.187,371.56,0.0182489,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,42.7012,-88.0042,264.843,528.35,408.27,348.83,179.52,885.87,424.16,167.171,241.937,74.7544,357.52,0.0176578,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,43.0986,-88.024,266.186,518.98,399.79,342.83,176.15,868.59,404.74,176.565,252.134,75.5583,349.61,0.015962,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,43.1815,-88.0217,266.114,533.4,410.42,350.83,182.57,859.74,381.07,193.694,270.739,77.0336,326.34,0.0126851,0,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,43.1548,-88.0262,266.65,528.96,406.8,347.85,181.11,883.97,420.92,168.897,243.731,74.8228,355.01,0.0136314,0,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
11,42.7875,-87.9914,263.94,530.42,408.48,348.76,181.66,873.95,402.7,178.59,254.813,76.2121,343.53,0.0141331,0,0,11,0.999734,1.04267,0.9756,1.03061,0.960446,0.959836,0.978725,0.951318,0.955042
12,42.97,-88.0158,265.775,519.25,402.6,345.48,173.77,860.47,390.84,185.4,261.989,76.5778,341.22,0.0167905,0,0,12,1.02381,0.976382,0.958791,1.04814,0.956711,1.02357,0.965864,1.01815,1.00066
13,42.8215,-88.0139,265.596,530.95,410.94,351.06,179.89,873.6,400.47,179.901,255.775,75.8628,342.65,0.0153353,0,0,13,1.01865,0.977833,1.03422,0.994956,0.950468,1.01642,0.996444,1.01424,1.00247
14,42.7639,-88.0119,265.406,515.55,399.32,342.36,173.19,883.73,429.51,162.796,237.172,74.3655,368.18,0.0195012,0,0,14,1.03075,0.955669,0.99066,1.02885,1.02624,1.01555,1.04383,1.0041,0.970749
15,43.022,-88.012,265.461,522.56,403.97,345.73,176.83,867.45,398.27,180.74,256.841,76.0895,344.89,0.0160557,0,0,15,0.967041,0.992206,0.96035,1.01327,0.999814,1.02525,0.985053,1.00987,0.997721
16,43.1051,-88.0178,265.688,525.24,404.81,346.73,178.51,869.2,400.57,179.377,254.969,75.5818,343.96,0.0135946,0,0,16,0.980933,1.03551,1.02435,1.03885,1.02176,0.97915,1.0186,1.02953,1.02682
