# Drug name and concentration: 13: Diltiazem at 3050μM
# GNa:
#   EC50/IC50: 110900
#   Hill Coefficient: 0.7022
# GNaL:
#   EC50/IC50: 21870
#   Hill Coefficient: 0.6779
# Gto:
#   EC50/IC50: 2822000000
#   Hill Coefficient: 0.1696
# GKr:
#   EC50/IC50: 13140
#   Hill Coefficient: 0.9119
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 112.1
#   Hill Coefficient: 0.7142
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,38.5029,-88.1009,271.652,244.4,186.52,160.75,83.65,1077.51,456.97,31.4859,88.9463,57.4576,833.11,0.0845542,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,38.3428,-88.092,270.994,239.71,183.08,157.81,81.9,1088.76,457.59,29.6918,86.0228,56.3288,849.05,0.0864724,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,38.1386,-88.0801,270.023,240.41,183.27,157.65,82.76,1083.07,456.1,30.3353,87.3597,57.0219,842.66,0.0860724,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,38.2678,-88.0841,270.295,233,177.59,152.98,80.02,1086.45,454.05,29.4909,85.8747,56.3815,853.45,0.0876177,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,38.4504,-88.1026,271.896,230.65,175.34,150.87,79.78,1094.11,455.12,28.3429,84.5682,56.223,863.46,0.0886403,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,38.5123,-88.1085,272.363,239.28,182.32,156.94,82.34,1098.01,459.88,28.4557,84.6317,56.1736,858.73,0.0871977,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,38.2728,-88.0886,270.712,236.15,179.17,154.08,82.07,1094.87,456.97,28.5439,84.7126,56.1665,858.72,0.087926,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,38.516,-88.1078,272.222,235.72,179.3,154.49,81.23,1086.12,455.31,29.6786,86.3284,56.6473,850.4,0.0867149,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,38.5169,-88.1055,272.024,242.67,185.04,159.46,83.21,1075.2,455.56,31.6599,89.2016,57.539,832.53,0.0851006,0,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,38.5079,-88.1081,272.153,241.89,184.4,159.08,82.81,1092.57,459.66,29.3362,85.68,56.3415,850.68,0.0850412,0,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
11,38.2195,-88.0748,269.539,239.22,181.87,156.51,82.71,1085.79,456.49,29.8684,86.9983,57.1274,846.57,0.0847781,0,0,11,0.999734,1.04267,0.9756,1.03061,0.960446,0.959836,0.978725,0.951318,0.955042
12,38.4708,-88.101,271.764,230.19,174.94,150.46,79.73,1078.36,451.06,30.23,87.4614,57.2285,848.17,0.0882712,0,0,12,1.02381,0.976382,0.958791,1.04814,0.956711,1.02357,0.965864,1.01815,1.00066
13,38.3405,-88.0984,271.524,240.65,183.64,158.08,82.57,1084.54,456.87,30.217,87.0628,56.8434,843.89,0.0865639,0,0,13,1.01865,0.977833,1.03422,0.994956,0.950468,1.01642,0.996444,1.01424,1.00247
14,38.3582,-88.0965,271.425,231.5,175.82,151.23,80.27,1097.37,455.96,28.001,83.9758,55.9726,865.87,0.0887786,0,0,14,1.03075,0.955669,0.99066,1.02885,1.02624,1.01555,1.04383,1.0041,0.970749
