# Drug name and concentration: 1: Ranolazine at 1948.2μM
# GNa:
#   EC50/IC50: 68770
#   Hill Coefficient: 1.425
# GNaL:
#   EC50/IC50: 7884
#   Hill Coefficient: 0.945
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 8208
#   Hill Coefficient: 0.8576
# GKs:
#   EC50/IC50: 36160000
#   Hill Coefficient: 0.5191
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.65,-88.0127,264.935,321.37,261.82,239.05,82.32,762.36,333.93,190.945,267.851,76.8965,440.99,0.0577708,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,41.4695,-88.0015,264.066,319.98,261.47,238.86,81.12,777.66,344.98,176.488,251.683,75.1856,457.68,0.0591686,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,41.0837,-87.9901,263.334,320.2,261.4,238.6,81.6,770.78,339.69,182.777,259.031,76.2447,450.58,0.0598053,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,41.4371,-87.9919,263.325,314.92,257.67,235.61,79.31,773.03,341.1,179.167,254.622,75.4448,458.11,0.0604193,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,41.3398,-88.0157,264.961,310.19,253.42,231.54,78.65,793.27,354.2,161.499,235.722,74.2134,483.08,0.0625008,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,41.3597,-88.0238,265.547,316.09,257.65,235.01,81.08,801.18,360.38,156.909,230.734,73.8153,485.09,0.0613804,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,41.1603,-88.0008,264.09,316.96,258.26,235.74,81.22,791.43,353.78,164.319,238.735,74.4069,474.47,0.0616378,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,41.527,-88.0209,265.384,313.64,255.75,233.77,79.87,778.81,344.64,173.918,249.198,75.2701,465.17,0.0601082,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,41.6366,-88.0172,265.257,321.95,262.65,239.99,81.96,759.42,331.99,194.019,271.169,77.1392,437.47,0.0576516,0,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,41.4687,-88.0232,265.531,318.49,259.42,236.93,81.56,788.77,352.24,166.892,241.463,74.5607,470.28,0.0585536,0,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
11,41.1748,-87.9881,263.173,316.18,257.26,234.73,81.45,777.52,343.59,175.889,251.851,75.9527,461.34,0.0596599,0,0,11,0.999734,1.04267,0.9756,1.03061,0.960446,0.959836,0.978725,0.951318,0.955042
12,41.5004,-88.0118,264.792,311.2,254.48,232.7,78.5,768.05,336.74,183.112,259.501,76.3788,456.85,0.0615024,0,0,12,1.02381,0.976382,0.958791,1.04814,0.956711,1.02357,0.965864,1.01815,1.00066
13,41.2909,-88.0095,264.663,320.95,262.27,239.5,81.45,775.26,343.13,179.133,254.946,75.8032,454.31,0.0595195,0,0,13,1.01865,0.977833,1.03422,0.994956,0.950468,1.01642,0.996444,1.01424,1.00247
14,41.2206,-88.0092,264.557,310.94,253.76,231.77,79.17,796.49,356.51,158.963,232.827,73.8547,485.55,0.06285,0,0,14,1.03075,0.955669,0.99066,1.02885,1.02624,1.01555,1.04383,1.0041,0.970749
