# Drug name and concentration: 2: Sotalol at 29380μM
# GNa:
#   EC50/IC50: 1144000000
#   Hill Coefficient: 0.5089
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: 43140000
#   Hill Coefficient: 0.6632
# GKr:
#   EC50/IC50: 107100
#   Hill Coefficient: 0.785
# GKs:
#   EC50/IC50: 4222000
#   Hill Coefficient: 1.167
# GK1:
#   EC50/IC50: 3050000
#   Hill Coefficient: 1.204
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 7062000
#   Hill Coefficient: 0.8651
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.9094,-88.0096,264.635,343.38,279.76,254.36,89.02,770.48,342.01,190.844,267.888,77.0338,427.1,0.0460094,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,41.7203,-87.9982,263.805,341.61,279.18,254.02,87.59,785.44,353.11,176.701,252.063,75.3523,443.83,0.0478989,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,41.3247,-87.9867,263.05,342.32,279.57,254.16,88.16,778.73,347.87,182.933,259.349,76.4065,436.41,0.0483502,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,41.6858,-87.9886,263.086,336.35,275.27,250.73,85.62,780.39,348.9,179.559,255.196,75.6274,444.04,0.049296,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,41.593,-88.0123,264.709,331.99,271.42,247.06,84.93,801.14,362.68,161.744,236.15,74.3968,469.15,0.0512014,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,41.6165,-88.0204,265.287,338.03,275.69,250.49,87.54,809.5,369.24,156.975,230.967,73.983,471.47,0.0499842,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,41.4045,-87.9975,263.782,338.93,276.34,251.28,87.65,799.35,362.27,164.6,239.199,74.5893,460.42,0.0504619,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,41.7846,-88.0177,265.084,335.49,273.67,249.16,86.33,786.7,352.93,174.039,249.483,75.4347,451.21,0.0484745,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,41.8912,-88.0142,264.968,344.24,280.89,255.6,88.64,767.71,340.14,193.846,271.126,77.2701,423.47,0.0457918,0,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,41.7352,-88.02,265.202,341.04,277.92,252.82,88.22,797.12,361.05,167.032,241.774,74.7323,456.08,0.046542,0,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
11,41.442,-87.9846,262.795,339.15,276.16,250.96,88.19,785.49,352.06,176.316,252.475,76.1487,446.34,0.047665,0,0,11,0.999734,1.04267,0.9756,1.03061,0.960446,0.959836,0.978725,0.951318,0.955042
12,41.7494,-88.0085,264.544,332.93,272.38,248.12,84.81,775.78,344.77,183.21,259.757,76.537,442.85,0.0501224,0,0,12,1.02381,0.976382,0.958791,1.04814,0.956711,1.02357,0.965864,1.01815,1.00066
13,41.5331,-88.0063,264.408,343,280.4,255.03,87.97,783.51,351.57,179.104,255.062,75.948,440.51,0.0480483,0,0,13,1.01865,0.977833,1.03422,0.994956,0.950468,1.01642,0.996444,1.01424,1.00247
14,41.4679,-88.0058,264.288,332.51,271.53,247.07,85.44,804.23,364.9,159.246,233.299,74.0436,471.72,0.0517451,0,0,14,1.03075,0.955669,0.99066,1.02885,1.02624,1.01555,1.04383,1.0041,0.970749
15,41.7434,-88.0049,264.297,338.31,276.42,251.42,86.89,782.42,350.15,178.855,254.93,76.0657,444.11,0.0484752,0,0,15,0.967041,0.992206,0.96035,1.01327,0.999814,1.02525,0.985053,1.00987,0.997721
