# Drug name and concentration: 3: Mexiletine at 12387μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: 8957
#   Hill Coefficient: 1.409
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 29070
#   Hill Coefficient: 0.8928
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 38240
#   Hill Coefficient: 1.031
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,40.2852,-88.0402,267.438,299.52,239.89,217.62,81.9,828.41,374.53,133.447,206.073,72.6151,528.89,0.0794384,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,40.0771,-88.0294,266.074,299.61,241.01,218.85,80.76,841.62,383.4,125.204,196.219,71.0046,542.01,0.0799331,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,39.7618,-88.0182,265.505,298.95,240.02,217.7,81.25,834.93,378.5,129.09,201.09,71.9894,535.98,0.0806096,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,40.0461,-88.0203,265.444,294.64,237.23,215.57,79.07,837.88,380.12,126.466,197.682,71.2055,543.24,0.0807689,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,40.0118,-88.043,267.51,290.21,233.24,211.79,78.42,851.84,387.91,117.462,187.632,70.1608,561.63,0.0828722,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,40.0346,-88.0506,268.088,296.08,237.54,215.4,80.68,858.03,392.8,115.14,184.998,69.8491,561.95,0.0820788,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,39.8426,-88.028,266.485,297.04,238.13,216.03,81.01,851.25,388.62,118.902,189.234,70.3222,554.21,0.0818423,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,40.1729,-88.0479,267.91,292.83,234.76,213.24,79.59,841.12,381.66,124.084,195.204,71.1095,548.29,0.0813437,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,40.2885,-88.0443,267.758,299.93,240.46,218.27,81.66,825.67,372.87,135.351,208.22,72.8583,525.74,0.0794269,0,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,40.1076,-88.0498,268.023,297.31,238.14,216.22,81.09,848.95,387.4,120.316,190.8,70.4745,551.64,0.0804216,0,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
11,39.815,-88.016,265.487,294.04,235.05,213.11,80.93,839.85,380.53,125.042,196.731,71.6792,545.81,0.0810503,0,0,11,0.999734,1.04267,0.9756,1.03061,0.960446,0.959836,0.978725,0.951318,0.955042
12,40.1679,-88.0395,267.342,290.22,233.25,211.85,78.37,832.42,375.66,129.153,201.287,72.1232,542.2,0.0821101,0,0,12,1.02381,0.976382,0.958791,1.04814,0.956711,1.02357,0.965864,1.01815,1.00066
13,39.9757,-88.037,267.168,300,241.17,218.84,81.16,838.67,381.38,127.156,198.788,71.6216,538.67,0.0805079,0,0,13,1.01865,0.977833,1.03422,0.994956,0.950468,1.01642,0.996444,1.01424,1.00247
14,39.9015,-88.0365,267.055,291.42,234.03,212.46,78.96,854.42,389.63,116.077,185.916,69.83,563,0.0829137,0,0,14,1.03075,0.955669,0.99066,1.02885,1.02624,1.01555,1.04383,1.0041,0.970749
15,40.1335,-88.0362,267.095,295.28,237.21,215.24,80.04,838.09,380.18,126.674,198.376,71.6911,542.81,0.0809546,0,0,15,0.967041,0.992206,0.96035,1.01327,0.999814,1.02525,0.985053,1.00987,0.997721
16,40.104,-88.0419,267.421,295.43,237.16,215.52,79.91,839.31,381.05,125.626,196.787,71.1512,543.88,0.0802039,0,0,16,0.980933,1.03551,1.02435,1.03885,1.02176,0.97915,1.0186,1.02953,1.02682
17,40.0204,-88.0183,265.262,294.45,237.06,215.39,79.06,836.35,379.06,127.312,198.636,71.3144,541.9,0.0803913,0,0,17,0.975087,0.989229,0.983212,1.0226,1.04271,1.0383,1.02573,0.972316,1.02942
18,40.2073,-88.0511,268.223,300.5,241.08,218.43,82.07,843.84,384.76,124.435,196.034,71.5895,543.34,0.080501,0,0,18,1.02754,0.995301,0.953496,0.979427,0.986711,1.0189,0.973556,1.04535,0.979146
19,39.8683,-88.0161,265.192,297.32,239.2,217.01,80.31,827.07,373.22,133.865,206.533,72.6573,529.75,0.0799952,0,0,19,0.988731,1.01524,1.02859,0.995752,1.02946,1.04598,0.969784,0.965667,1.0034
20,39.8927,-88.0242,265.51,293.65,236.8,215.15,78.5,839.54,380.93,125.324,196.483,71.1495,545.89,0.0801892,0,0,20,0.963064,1.04882,1.03119,1.03474,1.02833,1.04929,1.02087,0.986984,1.00852
21,39.8831,-88.0158,265.168,302.57,243.43,220.66,81.91,848.89,388.4,121.636,192.345,70.6994,546.32,0.0801512,0,0,21,0.992863,0.950997,0.966825,0.967273,0.955106,1.04376,1.03602,0.957388,0.985727
22,39.9612,-88.0111,264.752,304.05,245.01,222.32,81.73,820.78,370.37,139.475,212.644,73.158,516.73,0.0777991,0,0,22,0.981055,1.03302,1.03266,0.97651,0.977462,1.04777,0.975026,0.960767,1.03846
23,39.916,-88.0422,267.551,301.83,241.1,218.37,83.46,862.35,396.24,113.577,183.138,69.5519,560.52,0.0815829,0,0,23,0.970209,0.957814,0.981959,0.968216,1.03496,0.960786,1.04909,1.01193,0.952645
24,39.8329,-88.0245,265.791,302.9,243.24,220.3,82.6,849.02,388.32,121.612,192.552,70.9296,546.12,0.0795864,0,0,24,1.01776,1.02488,1.00289,0.96199,1.0303,1.02841,1.01352,0.977776,0.966506
25,39.8774,-88.0379,267.19,292.65,235.13,213.56,79.09,841.47,381.75,123.831,194.973,71.132,548.82,0.082155,0,0,25,1.03926,0.981943,1.04969,1.03606,0.974731,1.00629,1.00404,1.01342,0.988003
26,39.8722,-88.0315,266.668,296.12,237.17,215.18,80.94,850.43,387.88,119.15,189.536,70.3766,554.31,0.0807961,0,0,26,0.996348,1.03865,1.01561,1.0198,1.03365,0.970867,1.03144,0.993396,0.975072
27,39.9429,-88.0272,266.073,301.36,241.96,219.52,81.84,839.96,382.38,126.512,197.932,71.41,538.6,0.0795812,0,0,27,1.03727,1.00667,1.01949,0.990195,0.989892,1.0001,1.01271,0.989648,1.00705
28,39.7371,-88.03,266.654,298.6,238.66,216.25,82.35,847.44,386.17,121.343,192.371,71.0176,548.84,0.0816406,0,0,28,1.04885,0.987615,1.03991,0.992344,0.981577,0.962324,0.998626,0.984138,0.950104
29,39.9205,-88.0206,265.742,293.01,234.79,213.28,79.73,831.21,375.11,129.98,201.94,71.9493,538.2,0.0813578,0,0,29,0.977981,0.98371,1.01255,1.03719,1.00095,0.975173,0.992789,0.971822,1.0107
30,39.9567,-88.021,265.411,293.12,236.44,215.08,78.04,826.73,372.65,133.045,205.121,72.066,533.61,0.0806247,0,0,30,1.0227,0.985651,1.04627,1.04376,0.983504,1.04061,1.0063,0.983894,1.04647
31,39.9776,-88.0391,267.419,300.74,240.13,217.45,83.29,840.36,382.12,126.139,198.044,71.895,539.62,0.0812168,0,0,31,1.0257,0.969963,0.995703,0.971907,1.00416,0.967561,0.966265,1.00815,0.965723
32,40.0726,-88.0428,267.692,303.18,242.68,219.66,83.52,845.17,385.84,124.083,195.766,71.6728,541.99,0.0800928,0,0,32,1.00368,1.01144,0.962983,0.966268,0.964973,0.993873,0.968581,1.01903,0.958758
33,40.2177,-88.0525,268.299,304.42,243.85,221.04,83.38,853.31,391.54,119.485,190.001,70.5069,548.89,0.0793978,0,0,33,1.00835,1.01906,0.959383,0.9811,0.969208,0.971896,1.02281,1.04859,0.991497
34,40.1405,-88.0414,267.534,306.28,244.94,222.01,84.27,833.02,378.58,131.744,204.032,72.278,526.74,0.078724,0,0,34,1.00575,1.00956,1.02217,0.962329,1.02513,0.961824,0.980794,1.02646,1.0231
35,40.073,-88.035,266.931,301.12,241.49,219.35,81.77,841,383.15,125.605,196.578,70.9631,539.88,0.0793795,0,0,35,0.950975,1.00501,1.02996,1.00682,1.01021,0.965656,1.03999,1.01271,1.03911
36,39.8548,-88.017,265.249,302.48,243.59,221.06,81.42,836.25,380.28,129.098,200.803,71.6945,533.77,0.0786358,0,0,36,0.972651,1.03438,1.04426,0.989826,0.967223,1.02945,1.01428,0.969426,1.01481
37,39.8996,-88.0142,265.081,297.26,238.71,216.65,80.61,847.47,386.45,121.163,191.66,70.4875,550.21,0.0808232,0,0,37,1.0295,0.962398,0.963648,1.00596,0.984468,1.00809,1.0467,0.953762,0.996232
38,39.9506,-88.0137,265.257,293.8,235.27,213.7,80.1,833.71,376.88,128.509,200.128,71.6089,539.91,0.080996,0,0,38,0.983967,0.979258,0.984581,1.03241,1.02059,0.969029,1.01182,0.95492,1.01754
39,40.0311,-88.0298,266.687,293.97,235.59,213.74,80.23,835.19,377.87,127.97,199.91,71.93,541.22,0.0817401,0,0,39,0.953572,0.966569,0.973413,1.01412,1.01201,1.00131,0.97704,0.990631,0.990683
40,40.1961,-88.0456,267.826,295.07,236.31,214.56,80.51,830.13,374.87,131.318,203.646,72.3172,535.06,0.0809791,0,0,40,1.00643,0.997429,0.996071,1.02552,1.0171,0.974002,0.967172,1.03593,1.0181
41,39.7009,-88.02,265.556,290.61,233.33,211.93,78.68,843.87,382.72,121.825,192.578,70.7432,553.26,0.0821855,0,0,41,0.986293,0.999692,1.04399,1.04766,0.994946,0.997161,1.02337,0.966624,0.976683
42,40.0648,-88.0171,265.526,300.12,239.91,217.63,82.49,838.04,380.76,127.198,198.673,71.4641,537.92,0.0793445,0,0,42,0.960292,1.01248,0.95422,0.996498,1.04873,0.956886,1.01671,0.962307,1.01642
43,40.2278,-88.0445,267.685,303.53,243.18,220.75,82.78,833.61,378.72,130.843,202.834,71.9813,530.08,0.0784378,0,0,43,1.04548,1.04144,1.01445,1.00115,0.976499,0.95506,0.99585,1.03769,1.04013
44,40.0509,-88.0173,265.425,304.94,244.93,222.27,82.67,817.2,368.01,141.932,215.455,73.5112,512.26,0.0778021,0,0,44,1.02871,1.02767,1.02663,0.982016,0.954556,0.998778,0.962404,0.973844,1.04585
45,39.9637,-88.0249,266.093,301.57,241.15,218.37,83.2,832.67,377.29,131.121,203.714,72.5817,531.1,0.0793059,0,0,45,1.01152,1.04906,0.989099,0.972991,1.04779,0.983794,0.955893,0.978953,0.978301
