# Drug name and concentration: 8: Ondansetron at 1112μM
# GNa:
#   EC50/IC50: 57670
#   Hill Coefficient: 1.02
# GNaL:
#   EC50/IC50: 19180
#   Hill Coefficient: 1.035
# Gto:
#   EC50/IC50: 1023000
#   Hill Coefficient: 0.9891
# GKr:
#   EC50/IC50: 1325
#   Hill Coefficient: 0.921
# GKs:
#   EC50/IC50: 569800
#   Hill Coefficient: 0.6535
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 22550
#   Hill Coefficient: 0.7526
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.6316,-88.017,265.413,388.7,312.85,280.49,108.21,809.33,374.1,171.79,247.816,76.0157,420.63,0.0397955,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,41.4275,-88.0059,264.574,387.51,313.2,281.11,106.4,823.84,385.38,159.932,234.354,74.4112,436.33,0.0415803,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,41.0381,-87.9945,263.871,388.68,314.01,281.54,107.14,817.36,380.2,165.369,240.816,75.4366,428.68,0.0418899,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,41.4016,-87.9963,263.934,382.3,309.48,278.11,104.19,818.26,380.74,162.642,237.363,74.7098,435.96,0.042803,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,41.3016,-88.0195,265.456,378.41,306.27,275.21,103.2,838.15,394.37,147.531,221.083,73.5416,459.74,0.0445626,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,41.3181,-88.0275,266.007,383.99,309.97,277.98,106.01,846.73,401.08,143.195,216.317,73.1119,462.74,0.0436459,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,41.109,-88.0048,264.55,386.1,311.57,279.55,106.55,837.13,394.53,149.894,223.614,73.7094,451.03,0.0438589,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,41.4965,-88.0248,265.854,381.25,307.48,276.25,105,824.37,384.72,157.763,232.282,74.5087,443.12,0.0420427,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,41.6159,-88.0216,265.767,390.64,314.96,282.63,108.01,807.13,372.63,174.41,250.668,76.2474,416.49,0.0393158,0,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,41.4527,-88.0269,265.945,387.81,312.51,280.5,107.31,835.48,393.62,151.62,225.451,73.8205,447.67,0.0400704,0,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
