# Drug name and concentration: 9: Quinidine at 29133μM
# GNa:
#   EC50/IC50: 12330
#   Hill Coefficient: 1.494
# GNaL:
#   EC50/IC50: 9417
#   Hill Coefficient: 1.337
# Gto:
#   EC50/IC50: 3487
#   Hill Coefficient: 1.282
# GKr:
#   EC50/IC50: 986.3
#   Hill Coefficient: 0.8404
# GKs:
#   EC50/IC50: 4899
#   Hill Coefficient: 1.363
# GK1:
#   EC50/IC50: 39590000
#   Hill Coefficient: 0.3468
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 51590
#   Hill Coefficient: 0.5892
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,28.8252,-17.0717,79.9984,2000,147.85,108.9,1891.1,1509.93,877.47,6.33252,126.23,118.871,-490.07,-0.0708844,1,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,43.2518,-12.094,273.647,539.82,273.16,214.45,325.37,664.6,653.35,76.8514,139.677,117.026,124.78,-0.137595,1,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,27.9652,-88.0827,80.0092,807.88,677.39,464.11,343.77,201.14,182.95,1.9277,119.427,63.5926,-606.74,0.067145,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,29.4272,-16.3931,79.998,2000,142.69,104.49,1895.51,1478.17,864.67,5.50931,123.15,116.42,-521.83,-0.0724481,1,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,29.0721,-17.1215,79.9984,2000,148.29,108.83,1891.17,1549.27,896.86,6.59851,123.696,115.892,-450.73,-0.0699564,1,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,28.5045,-88.1091,80.0062,798.37,666.71,456.13,342.24,195.03,179.73,1.43618,116.469,62.8269,-603.34,0.0689753,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,29.4846,-16.2711,79.9977,2000,142.73,104.41,1895.59,1499.41,878.52,5.19587,121.421,114.872,-500.59,-0.0724348,1,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,29.0746,-16.9965,79.9984,1985.87,146.76,107.85,1878.02,1512.07,878.44,6.34753,124.665,117.344,-473.8,-0.0706324,1,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,43.4643,-12.8094,275.395,1004.41,274.95,216.47,787.94,659.88,659.32,79.9651,143.879,119.832,-344.53,-0.134515,1,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,29.5002,-16.33,79.9978,2000,142.58,104.44,1895.56,1482.79,868.2,5.36094,122.034,115.431,-517.21,-0.0721832,1,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
11,28.1198,-18.4574,79.998,1818.13,157.44,116.26,1701.87,1655.28,947.03,8.89063,128.099,116.098,-162.85,-0.0685091,1,0,11,0.999734,1.04267,0.9756,1.03061,0.960446,0.959836,0.978725,0.951318,0.955042
12,26.4118,-88.1005,80.0221,772.46,650.89,485.36,287.1,242.88,213.43,4.25846,122.731,64.0113,-529.58,0.0649448,0,0,12,1.02381,0.976382,0.958791,1.04814,0.956711,1.02357,0.965864,1.01815,1.00066
13,28.5044,-88.1008,80.0025,872.96,740.29,464.36,408.6,184.9,171.19,1.23016,117.972,63.3472,-688.06,0.0675507,0,0,13,1.01865,0.977833,1.03422,0.994956,0.950468,1.01642,0.996444,1.01424,1.00247
14,29.3071,-16.8088,79.9982,2000,145.38,106.49,1893.51,1526.25,887.44,6.08823,122.517,115.246,-473.75,-0.0709057,1,0,14,1.03075,0.955669,0.99066,1.02885,1.02624,1.01555,1.04383,1.0041,0.970749
15,28.7619,-17.3423,79.9984,2000,150.02,110.42,1889.58,1547.67,894.96,6.86891,125.91,117.925,-452.33,-0.0703415,1,0,15,0.967041,0.992206,0.96035,1.01327,0.999814,1.02525,0.985053,1.00987,0.997721
16,43.3393,-12.4059,274.58,994.75,274.75,216.06,778.69,656.63,648.07,77.0283,140.19,117.682,-338.12,-0.136273,1,0,16,0.980933,1.03551,1.02435,1.03885,1.02176,0.97915,1.0186,1.02953,1.02682
17,29.3305,-16.6095,79.9982,2000,143.28,105.01,1894.99,1481.91,865.15,5.82808,123.907,116.928,-518.09,-0.0718601,1,0,17,0.975087,0.989229,0.983212,1.0226,1.04271,1.0383,1.02573,0.972316,1.02942
18,28.8664,-17.0886,79.998,2000,149.26,109.8,1890.2,1546.19,896.4,6.35622,124.858,117.21,-453.81,-0.0706763,1,0,18,1.02754,0.995301,0.953496,0.979427,0.986711,1.0189,0.973556,1.04535,0.979146
19,43.1087,-13.1956,272.313,1033.03,274.08,215.66,817.37,632.7,650.82,80.9109,144.929,120.193,-400.33,-0.131492,1,0,19,0.988731,1.01524,1.02859,0.995752,1.02946,1.04598,0.969784,0.965667,1.0034
20,43.144,-12.6927,272.808,1016.9,274.92,216.13,800.77,632.25,643.63,78.0105,141.321,118.22,-384.65,-0.134545,1,0,20,0.963064,1.04882,1.03119,1.03474,1.02833,1.04929,1.02087,0.986984,1.00852
21,28.6824,-21.4974,80,1624.1,1168.2,1067.46,556.64,1952.94,1202.83,16.7923,131.476,113.106,328.84,-0.0820877,1,0,21,0.992863,0.950997,0.966825,0.967273,0.955106,1.04376,1.03602,0.957388,0.985727
22,28.4839,-88.0804,80.0017,910.69,779.92,456.41,454.28,177.27,164.31,1.16004,119.808,63.8256,-733.42,0.0666657,0,0,22,0.981055,1.03302,1.03266,0.97651,0.977462,1.04777,0.975026,0.960767,1.03846
23,42.8953,-11.9544,274.731,538.67,271.56,212.42,326.25,639.38,635.24,72.3385,134.896,114.756,100.71,-0.136392,1,0,23,0.970209,0.957814,0.981959,0.968216,1.03496,0.960786,1.04909,1.01193,0.952645
