# Drug name and concentration: 4: Bepridil at 132μM
# GNa:
#   EC50/IC50: 2929
#   Hill Coefficient: 1.164
# GNaL:
#   EC50/IC50: 1814
#   Hill Coefficient: 1.416
# Gto:
#   EC50/IC50: 8594
#   Hill Coefficient: 3.541
# GKr:
#   EC50/IC50: 51.34
#   Hill Coefficient: 0.9293
# GKs:
#   EC50/IC50: 28630
#   Hill Coefficient: 0.7061
# GK1:
#   EC50/IC50: 10000000000
#   Hill Coefficient: 0.344
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 2808
#   Hill Coefficient: 0.6486
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,42.0718,-88.0214,266.007,492.16,385.17,333.14,159.02,867.4,417.88,165.741,241.309,75.5562,375.24,0.0219851,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,41.8759,-88.0103,265.183,491.9,387.38,335.4,156.5,880.98,433.5,155.258,229.349,74.0804,389.08,0.0236992,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,41.3874,-87.9991,264.481,494.42,389.72,337,157.42,876.21,427.22,160.072,235.12,75.036,381.79,0.0237511,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,41.8154,-88.0008,264.559,487.12,384.49,333.5,153.62,874.44,427.59,158.223,232.65,74.4153,387.32,0.0246324,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,41.6951,-88.0235,266.072,482.93,381.68,331.49,151.44,892.61,444.87,144.087,217.438,73.3405,409.68,0.0262076,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,41.7459,-88.0313,266.789,486.66,383.28,332.06,154.6,901.27,452.2,139.546,212.442,72.8847,414.61,0.0259284,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,41.4852,-88.009,265.157,492.97,388.32,336.22,156.75,894.28,446.15,146.04,219.503,73.452,401.31,0.0255688,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,41.9334,-88.0287,266.471,484.89,380.8,330.45,154.44,879.54,432.88,153.292,227.516,74.2122,394.65,0.0239238,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,42.0466,-88.0262,266.391,497.45,390.28,337.71,159.74,868.24,416.43,167.882,243.63,75.7371,370.79,0.0208479,0,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,41.9631,-88.0307,266.568,493.89,387.46,335.6,158.29,892.8,444.78,147.399,220.935,73.5251,398.91,0.0216502,0,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
