# Drug name and concentration: 6: Chlorpromazine at 228μM
# GNa:
#   EC50/IC50: 4536
#   Hill Coefficient: 1.995
# GNaL:
#   EC50/IC50: 4560
#   Hill Coefficient: 0.9379
# Gto:
#   EC50/IC50: 17620000
#   Hill Coefficient: 0.3654
# GKr:
#   EC50/IC50: 975.2
#   Hill Coefficient: 0.8281
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: 9270
#   Hill Coefficient: 0.6878
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 8192
#   Hill Coefficient: 0.8441
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.7141,-88.0165,265.023,331.65,268.96,244.8,86.85,779.37,346.76,178.911,255.203,76.2822,447.72,0.0513046,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,41.5182,-88.0051,264.23,329.94,268.4,244.48,85.46,794.44,357.61,165.667,240.265,74.5886,464.5,0.0530881,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,41.135,-87.9936,263.435,330.47,268.6,244.45,86.02,787.63,352.42,171.484,247.132,75.6378,457.16,0.053556,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,41.4869,-87.9954,263.568,324.6,264.4,241.07,83.53,789.64,353.55,168.137,242.995,74.8483,465.04,0.0544643,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,41.3886,-88.0191,265.206,320.27,260.6,237.45,82.82,809.62,366.53,152.066,225.712,73.6372,489.35,0.0563862,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,41.4235,-88.0271,265.764,326.47,265.02,241.05,85.42,817.8,372.98,147.75,221.001,73.2418,491.33,0.0551636,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,41.2028,-88.0043,264.134,327.12,265.45,241.63,85.49,807.9,366.22,154.65,228.485,73.8259,480.78,0.0556048,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,41.5959,-88.0247,265.743,323.74,262.85,239.55,84.19,795.7,357.38,163.196,237.878,74.6721,471.96,0.0537805,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,41.6985,-88.021,265.36,332.24,269.84,245.81,86.43,776.47,344.85,181.73,258.261,76.5218,444.23,0.0511673,0,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,41.5416,-88.0271,265.953,329.12,266.98,243.13,85.99,805.82,365.18,156.809,230.795,73.9765,476.7,0.0519566,0,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
