# Drug name and concentration: 12: Cisapride at 52μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: 219100
#   Hill Coefficient: 0.243
# GKr:
#   EC50/IC50: 11.27
#   Hill Coefficient: 0.621
# GKs:
#   EC50/IC50: 81170000
#   Hill Coefficient: 0.2921
# GK1:
#   EC50/IC50: 29480
#   Hill Coefficient: 0.5133
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 9267000
#   Hill Coefficient: 0.4261
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,43.0707,-88.0158,265.641,508.88,393.34,338.91,169.97,844.48,378.8,192.837,269.893,77.0449,335.6,0.0164312,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,42.9122,-88.0044,264.854,508.79,395.68,341.05,167.74,858.58,397.82,180.043,255.604,75.5499,349.79,0.0181251,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,42.4704,-87.9934,264.103,511.44,398.08,342.64,168.8,854.52,389.59,185.402,261.913,76.4991,343.08,0.0182392,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,42.839,-87.9948,264.218,504,393.04,339.47,164.53,851.44,391.25,183.914,259.838,75.9129,347.44,0.0190488,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,42.779,-88.0179,265.81,499.17,389.7,336.87,162.3,870.8,420.17,165.901,240.694,74.7819,371.63,0.0207427,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,42.8382,-88.0257,266.342,502.66,390.83,336.94,165.72,879.9,430.04,160.211,234.519,74.297,377.24,0.0205504,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,42.5826,-88.0033,264.769,509.9,396.56,341.61,168.29,873.21,418.52,168.183,243.078,74.8834,363.31,0.0200934,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,42.978,-88.0231,266.111,501.22,388.79,335.99,165.23,856.61,400.6,177.607,253.304,75.6852,355.39,0.0183552,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,43.0579,-88.0207,266.036,514.8,398.95,343.84,170.96,846.17,377.15,195.181,272.397,77.204,331.37,0.0151435,0,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,43.0336,-88.0253,266.552,510.66,395.45,340.88,169.78,871.38,415.65,169.947,244.912,74.9542,360.72,0.0160656,0,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
11,42.6638,-87.9905,263.833,511.77,396.78,341.53,170.24,860.88,398.73,179.78,256.15,76.359,349.11,0.0166261,0,0,11,0.999734,1.04267,0.9756,1.03061,0.960446,0.959836,0.978725,0.951318,0.955042
12,42.8468,-88.0149,265.688,501.17,391.15,338.28,162.89,847.94,387.1,186.598,263.33,76.7208,346.77,0.0192618,0,0,12,1.02381,0.976382,0.958791,1.04814,0.956711,1.02357,0.965864,1.01815,1.00066
13,42.6997,-88.0129,265.515,512.62,399.39,343.99,168.63,860.51,396.56,181.166,257.191,76.014,347.89,0.0177616,0,0,13,1.01865,0.977833,1.03422,0.994956,0.950468,1.01642,0.996444,1.01424,1.00247
14,42.6468,-88.0111,265.327,497.96,388.16,335.36,162.6,872.22,422.9,163.61,238.092,74.4717,374.26,0.0218745,0,0,14,1.03075,0.955669,0.99066,1.02885,1.02624,1.01555,1.04383,1.0041,0.970749
15,42.9029,-88.0112,265.381,504.72,392.8,338.82,165.9,855.06,394.52,181.89,258.13,76.2287,350.34,0.0184491,0,0,15,0.967041,0.992206,0.96035,1.01327,0.999814,1.02525,0.985053,1.00987,0.997721
16,42.9823,-88.017,265.613,507.07,393.55,339.79,167.28,856.65,396.73,180.511,256.241,75.7188,349.58,0.0160276,0,0,16,0.980933,1.03551,1.02435,1.03885,1.02176,0.97915,1.0186,1.02953,1.02682
17,42.8419,-87.9921,263.958,500.64,389.89,336.75,163.89,847.22,387.93,185.652,261.714,76.0504,346.58,0.018772,0,0,17,0.975087,0.989229,0.983212,1.0226,1.04271,1.0383,1.02573,0.972316,1.02942
