# Drug name and concentration: 2: Cisapride at 5.2μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: 219100
#   Hill Coefficient: 0.243
# GKr:
#   EC50/IC50: 11.27
#   Hill Coefficient: 0.621
# GKs:
#   EC50/IC50: 81170000
#   Hill Coefficient: 0.2921
# GK1:
#   EC50/IC50: 29480
#   Hill Coefficient: 0.5133
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 9267000
#   Hill Coefficient: 0.4261
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,42.2145,-88.0103,264.86,373.1,301.68,272.33,100.77,777.64,349.38,193.927,271.22,77.2825,404.54,0.03941,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,42.0359,-87.999,264.037,371.58,301.51,272.39,99.19,792.46,361.2,179.869,255.519,75.6396,420.88,0.0412783,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,41.6335,-87.9876,263.285,372.61,302.2,272.77,99.84,786.07,355.91,186.014,262.703,76.6779,413.46,0.0416696,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,41.9997,-87.9893,263.332,366.39,297.8,269.36,97.03,786.93,356.65,183.061,259.012,75.9409,420.54,0.0425943,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,41.911,-88.0129,264.952,362.1,294.11,265.9,96.2,808.1,371.38,164.7,239.42,74.7106,446,0.0444565,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,41.9359,-88.021,265.525,367.81,297.92,268.8,99.01,816.92,378.28,159.55,233.828,74.269,449.11,0.0434215,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,41.721,-87.9982,263.993,369.52,299.24,270.19,99.33,806.63,371.1,167.558,242.463,74.8941,437.11,0.0437487,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,42.099,-88.0183,265.312,365.32,295.86,267.52,97.8,793.56,361.08,177.091,252.824,75.7221,428.24,0.0417709,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,42.1955,-88.015,265.206,374.64,303.46,274.18,100.46,775.23,347.61,196.931,274.455,77.5137,400.59,0.0389996,0,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,42.0571,-88.0206,265.419,371.42,300.49,271.42,100,804.56,369.84,169.863,244.888,75.0148,433.14,0.0397655,0,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
11,41.7567,-87.9852,262.986,369.98,299.17,269.95,100.03,792.6,360.37,179.592,256.056,76.4541,422.62,0.0408198,0,0,11,0.999734,1.04267,0.9756,1.03061,0.960446,0.959836,0.978725,0.951318,0.955042
12,42.0555,-88.0093,264.796,363.1,295.09,266.97,96.13,782.58,352.62,186.515,263.352,76.8272,419.48,0.0433039,0,0,12,1.02381,0.976382,0.958791,1.04814,0.956711,1.02357,0.965864,1.01815,1.00066
13,41.8431,-88.0072,264.657,373.34,303.1,273.71,99.63,791.12,359.97,181.994,258.212,76.2082,417.78,0.041331,0,0,13,1.01865,0.977833,1.03422,0.994956,0.950468,1.01642,0.996444,1.01424,1.00247
14,41.7863,-88.0064,264.516,362.39,293.97,265.67,96.72,811.1,373.56,162.15,236.521,74.3608,448.71,0.0451098,0,0,14,1.03075,0.955669,0.99066,1.02885,1.02624,1.01555,1.04383,1.0041,0.970749
15,42.054,-88.0057,264.539,368.23,298.78,269.86,98.37,789.46,358.21,181.966,258.321,76.3453,421.23,0.0418054,0,0,15,0.967041,0.992206,0.96035,1.01327,0.999814,1.02525,0.985053,1.00987,0.997721
16,42.0466,-88.0119,264.824,369.07,299.24,270.61,98.46,791.11,359.8,180.25,256.055,75.7944,422.04,0.0397466,0,0,16,0.980933,1.03551,1.02435,1.03885,1.02176,0.97915,1.0186,1.02953,1.02682
17,41.9854,-87.9868,263.116,366.08,297.41,268.92,97.16,784.92,355.06,184.653,260.728,76.064,418.84,0.0418098,0,0,17,0.975087,0.989229,0.983212,1.0226,1.04271,1.0383,1.02573,0.972316,1.02942
18,42.1186,-88.0215,265.665,374.28,303.18,273.32,100.96,798.56,365.34,176.456,252.566,76.0995,424.28,0.0408026,0,0,18,1.02754,0.995301,0.953496,0.979427,0.986711,1.0189,0.973556,1.04535,0.979146
19,41.771,-87.9847,263.092,370.72,301.15,271.88,98.84,775.89,347.95,194.927,272.34,77.4022,405.17,0.0405911,0,0,19,0.988731,1.01524,1.02859,0.995752,1.02946,1.04598,0.969784,0.965667,1.0034
20,41.8582,-87.9924,263.409,367.52,299.27,270.54,96.98,791.07,359.68,180.205,256.077,75.8615,423.55,0.0397787,0,0,20,0.963064,1.04882,1.03119,1.03474,1.02833,1.04929,1.02087,0.986984,1.00852
21,41.8285,-87.9849,263.084,374.97,304.29,274.35,100.62,801.98,368.41,173.245,248.568,75.3127,427.01,0.042169,0,0,21,0.992863,0.950997,0.966825,0.967273,0.955106,1.04376,1.03602,0.957388,0.985727
22,41.8957,-87.9796,262.759,378.93,308.1,278.08,100.85,768.3,342.22,205.234,283.16,77.9154,389.37,0.0374883,0,0,22,0.981055,1.03302,1.03266,0.97651,0.977462,1.04777,0.975026,0.960767,1.03846
23,41.8012,-88.0133,265.038,373.58,301.14,271.29,102.29,822.31,382.7,156.658,230.607,73.9391,448.73,0.0434437,0,0,23,0.970209,0.957814,0.981959,0.968216,1.03496,0.960786,1.04909,1.01193,0.952645
24,41.7798,-87.9935,263.624,377.02,305.43,275.02,102,804.25,369.95,172.2,247.711,75.501,427.23,0.0396978,0,0,24,1.01776,1.02488,1.00289,0.96199,1.0303,1.02841,1.01352,0.977776,0.966506
25,41.7254,-88.0079,264.65,365.43,296.82,268.41,97.02,794.95,362.1,176.103,251.856,75.7426,429.52,0.0432096,0,0,25,1.03926,0.981943,1.04969,1.03606,0.974731,1.00629,1.00404,1.01342,0.988003
26,41.8081,-88.0013,264.068,370.22,299.53,270.34,99.88,806.21,370.78,168.136,243.124,74.9784,435.99,0.0406046,0,0,26,0.996348,1.03865,1.01561,1.0198,1.03365,0.970867,1.03144,0.993396,0.975072
27,41.88,-87.9968,263.888,375.09,303.95,274.3,100.79,791.85,360.71,181.635,257.695,76.0492,416.76,0.0399468,0,0,27,1.03727,1.00667,1.01949,0.990195,0.989892,1.0001,1.01271,0.989648,1.00705
28,41.5714,-88.0005,264.136,372.42,300.86,271.28,101.14,803.42,368.62,171.07,246.663,75.5835,431,0.04264,0,0,28,1.04885,0.987615,1.03991,0.992344,0.981577,0.962324,0.998626,0.984138,0.950104
29,41.8224,-87.9903,263.399,365.53,296.01,267.71,97.82,779.98,350.93,188.725,265.454,76.7187,414.45,0.0428092,0,0,29,0.977981,0.98371,1.01255,1.03719,1.00095,0.975173,0.992789,0.971822,1.0107
30,41.8626,-87.9899,263.332,365.35,297.66,269.59,95.76,773.98,346.79,194.491,271.337,76.8356,408.63,0.041792,0,0,30,1.0227,0.985651,1.04627,1.04376,0.983504,1.04061,1.0063,0.983894,1.04647
31,41.821,-88.01,264.907,373.77,301.47,271.67,102.1,793.99,361.6,179.462,255.926,76.4536,420.22,0.0425894,0,0,31,1.0257,0.969963,0.995703,0.971907,1.00416,0.967561,0.966265,1.00815,0.965723
32,41.9788,-88.0132,265.132,378.37,305.9,275.42,102.95,800.9,367.26,175.749,251.957,76.198,422.53,0.0399493,0,0,32,1.00368,1.01144,0.962983,0.966268,0.964973,0.993873,0.968581,1.01903,0.958758
33,42.192,-88.0235,265.728,379.18,306.52,276.29,102.89,810.36,374.87,167.949,242.927,74.9682,431.18,0.0388104,0,0,33,1.00835,1.01906,0.959383,0.9811,0.969208,0.971896,1.02281,1.04859,0.991497
34,42.0379,-88.0124,264.996,380.02,306.62,276.42,103.6,784.11,354.76,189.969,266.832,76.8526,404.09,0.0387318,0,0,34,1.00575,1.00956,1.02217,0.962329,1.02513,0.961824,0.980794,1.02646,1.0231
35,42.0139,-88.0054,264.388,374.08,302.71,273.51,100.57,792.22,361.2,180.448,256.045,75.5863,418.14,0.0396852,0,0,35,0.950975,1.00501,1.02996,1.00682,1.01021,0.965656,1.03999,1.01271,1.03911
36,41.8038,-87.9857,263.058,377.43,306.74,276.85,100.58,787.07,357.33,186.823,263.229,76.3954,409.64,0.038205,0,0,36,0.972651,1.03438,1.04426,0.989826,0.967223,1.02945,1.01428,0.969426,1.01481
37,41.8669,-87.9833,262.934,369.26,299.26,270.23,99.03,799.49,366.06,173.123,248.304,75.171,430.23,0.0428402,0,0,37,1.0295,0.962398,0.963648,1.00596,0.984468,1.00809,1.0467,0.953762,0.996232
38,41.8865,-87.9831,262.856,365.82,295.9,267.55,98.27,781.75,352.4,186.957,263.376,76.4094,415.93,0.0427694,0,0,38,0.983967,0.979258,0.984581,1.03241,1.02059,0.969029,1.01182,0.95492,1.01754
39,41.9092,-87.9996,264.157,366.02,296.37,267.71,98.31,785.54,354.95,184.333,260.962,76.6184,419.52,0.0435561,0,0,39,0.953572,0.966569,0.973413,1.01412,1.01201,1.00131,0.97704,0.990631,0.990683
40,42.0806,-88.0163,265.264,367.95,297.77,269.18,98.77,780.14,351.06,189.772,266.75,76.9685,412.19,0.0415581,0,0,40,1.00643,0.997429,0.996071,1.02552,1.0171,0.974002,0.967172,1.03593,1.0181
41,41.5934,-87.9891,263.265,363.65,295.18,266.9,96.75,797.14,363.52,173.485,248.94,75.4453,433.49,0.0432759,0,0,41,0.986293,0.999692,1.04399,1.04766,0.994946,0.997161,1.02337,0.966624,0.976683
42,42.0593,-87.9866,263.065,373.23,301.03,271.6,101.63,787.36,357.11,184.402,260.623,76.2112,414.13,0.0400911,0,0,42,0.960292,1.01248,0.95422,0.996498,1.04873,0.956886,1.01671,0.962307,1.01642
43,42.1722,-88.0153,265.118,378.68,306.28,276.57,102.11,784.65,355.4,189.168,265.777,76.5992,405.97,0.0372906,0,0,43,1.04548,1.04144,1.01445,1.00115,0.976499,0.95506,0.99585,1.03769,1.04013
44,41.9692,-87.9868,263.24,380.22,308.3,278.33,101.89,764.62,339.09,209.162,287.424,78.2517,384.4,0.0374132,0,0,44,1.02871,1.02767,1.02663,0.982016,0.954556,0.998778,0.962404,0.973844,1.04585
45,41.8993,-87.9943,263.734,376.61,304.07,273.85,102.76,784.09,354.22,189.312,266.588,77.2651,407.48,0.0388492,0,0,45,1.01152,1.04906,0.989099,0.972991,1.04779,0.983794,0.955893,0.978953,0.978301
46,41.8645,-87.9997,264.045,368.64,298.7,270.02,98.62,774.68,346.81,195.184,272.728,77.5328,406.04,0.0400022,0,0,46,1.0412,1.04737,1.03564,1.04011,1.00167,0.972533,0.956272,0.996674,1.00511
47,42.174,-88.019,265.472,385.14,310.62,279.93,105.21,773.63,346.19,201.905,279.765,77.8496,388.49,0.0360632,0,0,47,1.00096,1.04347,1.03047,0.95174,1.01855,0.953754,0.951743,1.0478,1.04352
48,42.047,-88.0053,264.362,371.92,301.77,272.67,99.25,792.45,361.15,180.046,255.731,75.675,420.53,0.0387036,0,0,48,0.961421,1.04459,1.02386,1.01773,1.04095,1.00412,1.03041,1.01668,1.03059
49,41.9184,-88.005,264.329,365.21,297.24,268.61,96.6,811.54,374.38,163.158,237.667,74.4987,446.33,0.0415284,0,0,49,1.01685,1.03035,0.979946,1.04507,0.995641,1.04154,1.04058,1.00759,0.971884
50,41.8961,-88.0165,265.182,359.8,292.21,264.09,95.71,804.75,368.47,166.843,242.006,75.1528,444.95,0.044646,0,0,50,1.03679,0.984074,0.976216,1.04118,1.04903,1.03715,0.999339,1.03123,0.962398
51,42.084,-88.0098,264.828,374.2,302.83,273.32,100.88,806.03,371.4,169.464,244.312,74.8381,431.83,0.041952,0,0,51,0.976124,0.952567,0.957704,0.987849,0.959236,0.98755,1.04484,1.01535,1.00625
52,41.9917,-87.9941,263.696,368.45,298.66,270.09,98.36,782.37,353.39,187.258,263.395,76.1262,413.92,0.0422453,0,0,52,1.00127,0.95832,1.00797,1.00867,1.03705,1.00545,1.02953,0.988291,1.04849
53,42.1319,-87.9993,264.146,372.97,302.54,273.04,99.93,780.4,351.71,191.523,268.518,76.9853,407.43,0.0409891,0,0,53,0.966251,0.973456,0.951714,0.977035,1.01127,1.04424,0.979766,0.99889,1.02267
54,41.9226,-87.9863,263.12,371.76,301.58,271.91,99.85,800.13,366.58,173.92,249.448,75.5177,428.37,0.0410072,0,0,54,1.04915,1.00474,0.952636,0.984849,1.02794,1.0464,1.02176,0.963153,0.980251
55,42.0635,-88.015,265.136,370.78,301.26,272.56,98.22,778.35,350.26,192.398,269.202,76.7938,407.57,0.0403376,0,0,55,0.964963,0.99355,1.04034,1.02039,0.982694,1.00997,0.991127,1.04291,1.04955
56,41.7666,-88.0018,264.324,376.97,304.57,274.14,102.83,800.27,366.67,175.409,251.468,76.0495,423.3,0.0410601,0,0,56,1.01254,0.996538,1.0001,0.95259,1.02381,1.00241,0.982475,0.991761,0.957178
57,42.0304,-88.002,264.282,365.24,296.71,268.21,97.03,783.62,353.74,185.942,262.464,76.5112,418.38,0.0435391,0,0,57,1.00769,0.951224,0.965818,1.01169,1.01568,1.04843,0.989325,1.0038,1.01504
58,41.9049,-87.9844,263.001,381.08,307.8,277.46,103.62,794.2,363.17,180.893,256.549,75.6454,413.12,0.0399292,0,0,58,1.01416,0.96773,0.998097,0.95651,0.972623,0.973278,1.0482,0.958411,1.024
59,42.1524,-88.0026,264.152,372.57,301.18,272.01,100.56,799.05,366.03,174.51,249.816,75.2959,426.48,0.0395712,0,0,59,1.03193,1.0264,0.956209,1.0246,0.987812,0.952373,1.03733,0.999518,1.01356
60,41.7385,-88.0121,264.866,370.79,301.48,272.19,98.6,808.09,372.23,167.568,242.725,75.1472,437.3,0.0404338,0,0,60,1.02648,1.03945,1.04297,1.02149,0.966228,1.02178,1.01002,1.02276,0.961179
61,41.9419,-88.0048,264.416,374.37,301.86,272.03,102.34,804.53,369.75,170.748,246.176,75.4186,430.16,0.0412993,0,0,61,1.04223,0.998348,0.961419,0.985118,1.00773,0.95444,1.00825,0.995534,0.969112
62,41.6827,-87.9935,263.654,372.24,302.13,272.55,99.69,804.24,369.59,170.712,246.048,75.3252,432,0.0422836,0,0,62,1.04606,0.978803,1.00834,0.991717,0.953089,1.02474,1.01907,0.974766,0.964956
63,42.0508,-88.0056,264.507,380.94,308.38,278.15,102.79,783.91,354.95,190.575,267.21,76.6239,402.97,0.0376694,0,0,63,0.995554,1.0187,1.03343,0.963715,1.01325,0.99677,1.00333,1.01721,1.0416
64,41.9976,-87.9959,263.922,379.64,306.16,276.07,103.57,773.91,346.67,199.156,276.72,77.553,394.27,0.0404812,0,0,64,1.04381,0.959562,0.993837,0.953649,0.990486,0.963762,0.971673,0.985268,1.0312
65,42.018,-88.0229,265.662,368.68,298.15,268.89,99.79,818.65,379.51,158.574,232.89,74.3056,449.97,0.0424742,0,0,65,0.990519,1.00187,0.950784,1.00458,1.04477,0.990999,1.02425,1.04116,0.954127
66,41.6281,-87.983,262.969,372.05,301.14,271.51,100.54,792.71,360.83,179.824,255.981,76.1471,420.66,0.0426444,0,0,66,1.0324,0.97133,1.01646,0.974588,1.01943,1.01272,1.00183,0.950965,0.974258
67,41.7885,-87.9917,263.519,369.07,298.22,269.19,99.88,779.66,350.5,190.489,267.781,77.2818,410.59,0.0417715,0,0,67,0.962069,1.01009,1.00408,1.01229,1.02202,0.96833,0.959174,0.970801,0.983291
68,41.6712,-87.9982,264.09,374.14,303.77,273.77,100.37,790.13,358.74,183.77,260.769,76.9886,415.99,0.0408246,0,0,68,0.974755,1.01461,1.02548,0.978867,0.968799,1.04253,0.950682,0.98797,0.953418
69,41.8806,-87.9844,263.019,378.61,306.7,276.22,102.39,792.54,361.33,182.416,258.662,76.2359,413.93,0.0386451,0,0,69,0.979146,1.02907,0.99173,0.957847,1.0328,1.03121,1.00748,0.961692,0.993444
70,41.9441,-88.0208,265.582,376.47,305.61,275.72,100.75,788.71,358.02,185.699,262.564,76.8549,412.24,0.0391527,0,0,70,1.00288,1.02366,1.03658,0.986587,0.961683,1.01983,0.9587,1.04955,0.99288
71,41.7715,-88.0039,264.362,362.24,293.58,265.55,96.69,792.1,359.6,177.242,253.095,75.8432,429.86,0.0443512,0,0,71,0.968373,0.970308,1.02128,1.04496,1.00895,0.986038,1.00244,1.00047,0.989786
72,41.9755,-87.9941,263.674,373.41,302.91,273.65,99.76,774.98,347.66,196.265,273.387,77.1114,401.57,0.0385502,0,0,72,1.0158,1.03732,1.03828,1.00202,1.04664,1.01125,0.993055,0.992873,1.0427
73,41.8206,-88.0194,265.516,376.8,304.16,273.94,102.86,803.34,368.99,172.664,248.376,75.7022,426.54,0.0412022,0,0,73,1.0407,0.990294,1.02764,0.958092,1.03141,0.978729,0.988468,1.03496,0.968302
74,41.9848,-88.0022,264.284,368.65,299.2,270.25,98.4,778.79,350.01,191.679,268.923,77.2334,410.14,0.0404409,0,0,74,1.03465,1.02806,0.997941,1.01507,1.0365,1.02662,0.961414,1.00579,1.00494
75,41.741,-87.9855,263.165,377.1,304.99,274.77,102.33,788.98,358.17,185.114,261.978,76.8534,411.88,0.0403534,0,0,75,0.97166,1.00738,0.99286,0.973039,0.962232,0.992262,0.972718,0.955347,0.967863
76,42.0516,-87.9965,263.874,362.43,294.72,266.95,95.48,778.07,349.68,189.66,266.154,76.4829,415.64,0.0433975,0,0,76,1.01901,0.956191,0.982017,1.04914,0.992428,1.02734,1.00929,0.994908,1.04419
77,41.8437,-88.0051,264.428,381.9,309.96,279.27,102.63,807.97,373.55,170.682,245.705,75.0131,426.07,0.0383428,0,0,77,0.965942,1.0166,1.04141,0.954683,0.979345,1.03098,1.04105,1.0108,0.994916
78,41.8038,-88.0123,265.056,377.78,305.08,275.12,102.66,789.47,358.75,184.435,260.974,76.5284,411.69,0.0414918,0,0,78,1.03565,0.960485,1.04782,0.964444,0.9707,0.964641,0.981761,1.02008,0.998796
79,42.0394,-87.9826,262.922,381.45,308.66,278.42,103.03,787.3,358.05,187.195,263.239,76.0342,405.85,0.0392922,0,0,79,1.02136,0.964992,0.980551,0.960418,0.95197,0.991832,1.04563,0.959633,1.0472
80,42.0221,-87.9791,262.688,378.37,306.59,276.53,101.84,778.35,350.36,195.098,272.306,77.1972,399.98,0.0379592,0,0,80,0.991185,1.03224,0.968221,0.983854,0.971214,1.00734,0.99041,0.9521,1.0205
81,41.8794,-88.004,264.383,370.97,300.52,271.23,99.74,795.68,362.99,177.324,253.315,75.9802,424.71,0.0407745,0,0,81,0.997256,1.02075,1.00338,1.00928,1.00545,0.99525,0.994826,1.00273,0.981902
82,42.0377,-88.0159,265.118,370.4,299.41,270.35,100.05,804.89,369.8,169.406,244.599,75.1833,434.49,0.0405223,0,0,82,1.00992,1.03146,0.977386,1.0296,0.99618,0.951234,1.01506,1.02705,0.982665
83,42.2679,-88.0113,264.962,376.43,305.23,275.42,101.01,777.01,349.1,196.06,273.439,77.3689,400.58,0.0393357,0,0,83,0.993991,0.99138,0.955959,0.970543,1.00253,1.03473,0.964574,1.03097,1.03646
84,41.7402,-87.9933,263.598,376.74,304.45,274.52,102.22,801.94,368.48,173.101,248.244,75.1332,425.2,0.0409959,0,0,84,0.958106,0.980159,1.03792,0.969489,1.01605,0.976903,1.04766,0.976672,0.99931
85,41.6986,-88.0209,265.552,379.18,305.62,275.11,104.07,816.65,379.05,162.662,237.383,74.7107,437.47,0.0409162,0,0,85,0.951026,1.00001,1.0481,0.955026,1.02422,0.950104,1.01746,1.03315,0.951185
86,41.7071,-88.0046,264.442,370.44,300.71,271.23,99.21,803.73,368.89,170.764,246.265,75.4907,433.29,0.0426251,0,0,86,1.02063,0.982962,1.01768,0.988079,0.998168,1.03941,1.00054,1.00182,0.959781
87,41.85,-87.9924,263.641,375.08,303.94,274.1,100.98,776.68,348.51,195.795,273.469,77.6631,401.6,0.0395217,0,0,87,1.03358,1.02562,1.01353,0.980811,1.00992,1.01701,0.952245,0.980214,0.995587
88,41.9178,-88.0143,265.103,367.6,298.08,268.85,98.75,799.73,365.45,173.416,249.412,75.9858,432.13,0.0424793,0,0,88,0.954761,1.00264,0.971614,1,1.0359,1.03567,0.970154,1.02513,0.956195
89,41.6889,-87.9878,263.211,363.21,295.07,266.66,96.55,787.04,355.87,182.297,258.751,76.4438,423.83,0.042713,0,0,89,1.02437,1.01385,1.02064,1.03552,1.03898,1.03312,0.986286,0.967292,0.97784
90,42.1019,-88.0109,264.797,372.85,302.66,273.6,99.25,794.81,363.14,178.329,253.781,75.4419,421.96,0.039709,0,0,90,0.969875,1.00382,1.01033,1.01667,0.975606,0.999402,1.0385,1.02873,1.03756
91,41.7871,-87.9925,263.673,377.07,304.67,274.36,102.71,794.84,362.61,180.002,256.47,76.4582,417.77,0.0409555,0,0,91,0.95677,0.994851,0.978548,0.965124,0.973595,0.989926,0.97695,0.968664,0.960718
92,42.0459,-88.0108,264.921,371.14,300.33,271.42,99.72,776.93,348.9,193.601,270.716,77.1047,405.79,0.0414849,0,0,92,0.95929,0.974137,1.00932,1.00305,1.00686,0.980154,0.974922,1.02451,1.03303
93,42.1328,-88.0032,264.452,380.36,307.88,277.42,102.94,778.93,350.49,195.707,273.28,77.5625,398.57,0.0380423,0,0,93,0.955475,1.0222,0.967679,0.959056,0.991522,1.01432,0.954784,1.00695,1.01242
94,41.9026,-87.9808,262.73,370.35,300.46,271.59,98.76,773.5,346.29,196.73,274.087,77.3458,403.15,0.0394385,0,0,94,0.978937,1.04037,1.00592,1.03141,0.988633,0.994997,0.983836,0.956621,1.02141
95,42.1528,-88.0177,265.495,377.48,304.17,274.29,103.19,774.34,346.82,198.132,275.748,77.605,396.86,0.0410179,0,0,95,0.985638,0.954885,0.987747,0.950985,1.04183,0.96602,0.953291,1.03889,1.03459
96,41.9314,-88.0174,265.367,366.3,296.58,268.01,98.29,793.83,361.17,177.319,253.343,76.0135,427.53,0.0436087,0,0,96,0.987072,0.965936,0.994602,1.02366,0.985096,0.982941,0.984617,1.0322,0.987156
97,42.0152,-88.0209,265.512,366.57,296.6,268.29,98.28,799.19,365.52,172.386,247.465,75.0687,432.62,0.0431627,0,0,97,0.952317,0.961787,1.01144,1.03322,1.00344,0.95827,1.03395,1.04431,1.01912
98,41.8196,-87.9949,263.65,374.17,303.54,274,100.17,805.94,371.26,169.743,244.747,74.9934,431.77,0.0390974,0,0,98,0.957419,1.04676,1.01806,1.01847,0.958732,0.988496,1.04268,0.982334,0.984259
