# Drug name and concentration: 13: Dofetilide at 50μM
# GNa:
#   EC50/IC50: 380.5
#   Hill Coefficient: 0.892
# GNaL:
#   EC50/IC50: 753100
#   Hill Coefficient: 0.2597
# Gto:
#   EC50/IC50: 18.82
#   Hill Coefficient: 0.7712
# GKr:
#   EC50/IC50: 6.125
#   Hill Coefficient: 1.079
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: 0.765
#   Hill Coefficient: 394.4
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 260.3
#   Hill Coefficient: 1.163
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,36.1843,-65.8021,81.1314,911.12,372.76,323.5,587.62,1033.53,546.32,137.459,211.088,73.6019,122.41,-0.0170442,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,36.1555,-65.767,81.1188,930.45,381.6,330.91,599.54,1053.79,563.26,131.653,203.605,71.9291,123.34,-0.0178857,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,35.3801,-65.6997,81.105,930.09,383.94,332.48,597.61,1052.8,562.89,132.887,205.598,72.6864,122.71,-0.017583,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,36.0818,-65.8295,81.1283,922.98,381.87,331.04,591.94,1050.57,561.94,132.688,204.91,72.1962,127.59,-0.0177222,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,35.2475,-65.6348,81.1053,892.68,383.07,332.91,559.77,1038.83,554.66,128.078,199.709,71.607,146.15,-0.0156458,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,35.0582,-65.5069,81.0782,895.22,381.32,331.85,563.37,1037.27,552.26,126.28,197.588,71.2846,142.05,-0.0152059,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,35.1448,-65.5346,81.178,923.89,389.28,337.46,586.43,1058.74,569.45,127.267,198.631,71.3416,134.85,-0.0170421,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,35.9439,-65.8829,81.1483,889.01,374.78,325.85,563.16,1026.63,543.74,132.936,205.498,72.5346,137.62,-0.0159279,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,36.3208,-65.8063,81.2217,930.37,379.57,328.63,601.74,1052.34,561.56,137.66,211.243,73.5568,121.97,-0.0184072,0,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,35.816,-65.8053,81.1345,903.22,380.65,330.68,572.54,1039.74,554.08,129.876,201.683,71.7819,136.52,-0.0168287,0,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
