# Drug name and concentration: 10: Mexiletine at 41290μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: 8957
#   Hill Coefficient: 1.409
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 29070
#   Hill Coefficient: 0.8928
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 38240
#   Hill Coefficient: 1.031
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,39.0401,-88.0736,270.506,325.32,253.44,224.99,100.33,910.34,425.05,92.6118,160.237,67.6161,585.02,0.0907409,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,38.865,-88.063,269.334,327.59,256.93,228.46,99.13,920.2,430.98,88.7539,155.034,66.2717,592.61,0.0904505,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,38.6233,-88.0521,268.686,326.17,255.07,226.39,99.78,914.57,427.09,90.7329,157.849,67.108,588.4,0.0910806,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,38.8195,-88.0543,268.681,322.85,253.44,225.5,97.35,916.94,428.09,89.3741,155.812,66.43,594.09,0.0908714,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,38.8983,-88.0754,270.477,318.52,249.43,221.76,96.76,923.86,429.91,85.4473,151.127,65.6721,605.34,0.0928198,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,38.9418,-88.0825,271.052,323.76,253.09,224.72,99.04,928.77,433.62,84.221,149.652,65.4238,605.01,0.0924426,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,38.7203,-88.0603,269.325,326.31,254.91,226.4,99.91,925.29,432.39,85.9826,151.765,65.7742,598.98,0.0916782,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,38.9968,-88.0803,270.946,319.96,249.58,221.95,98.01,916.92,426.85,88.5834,155.002,66.4105,596.96,0.0920989,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,39.0527,-88.0776,270.836,326.6,254.67,226.18,100.42,908.99,424.8,93.5337,161.375,67.8317,582.39,0.0906649,0,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,38.9568,-88.0816,271.057,324.78,253.12,225.03,99.75,922.85,430.92,86.7456,152.644,65.8906,598.07,0.0915715,0,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
