# Drug name and concentration: 1: Ondansetron at 139μM
# GNa:
#   EC50/IC50: 57670
#   Hill Coefficient: 1.02
# GNaL:
#   EC50/IC50: 19180
#   Hill Coefficient: 1.035
# Gto:
#   EC50/IC50: 1023000
#   Hill Coefficient: 0.9891
# GKr:
#   EC50/IC50: 1325
#   Hill Coefficient: 0.921
# GKs:
#   EC50/IC50: 569800
#   Hill Coefficient: 0.6535
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 22550
#   Hill Coefficient: 0.7526
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.7375,-88.0104,264.495,309.92,253.97,232.41,77.51,768.1,336.58,183.217,259.668,76.442,458.18,0.0540114,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,41.5421,-87.9991,263.66,307.91,252.99,231.66,76.25,783.22,347.27,169.313,244.04,74.7177,475.31,0.055897,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,41.1554,-87.9876,262.907,308.28,253.07,231.54,76.74,776.36,342.08,175.361,251.146,75.7746,468.08,0.0563957,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,41.5063,-87.9895,262.935,302.57,248.87,228.09,74.48,778.7,343.41,171.691,246.658,74.9577,476.13,0.0573695,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,41.4121,-88.0134,264.567,298.09,244.84,224.22,73.87,798.72,356.24,155.011,228.751,73.7308,500.63,0.0593211,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,41.4369,-88.0214,265.144,304.47,249.58,228.18,76.29,806.48,362.39,150.861,224.229,73.3594,502.01,0.057921,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,41.2268,-87.9986,263.667,304.59,249.57,228.35,76.24,796.79,355.78,157.737,231.675,73.9291,492.2,0.0585311,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,41.6078,-88.0188,264.961,301.9,247.58,226.81,75.09,784.52,347.05,166.842,241.649,74.7983,482.62,0.0565812,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,41.7205,-88.0149,264.816,310.1,254.45,233.03,77.07,765.06,334.56,186.103,262.792,76.6798,454.96,0.054002,0,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,41.5559,-88.0211,265.085,306.9,251.47,230.19,76.71,794.34,354.54,160.293,234.407,74.1057,487.44,0.0547427,0,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
11,41.2636,-87.9856,262.699,304.53,249.24,227.93,76.6,783.25,346.07,168.765,244.254,75.48,478.72,0.055922,0,0,11,0.999734,1.04267,0.9756,1.03061,0.960446,0.959836,0.978725,0.951318,0.955042
12,41.5745,-88.0094,264.39,298.99,245.79,225.26,73.73,773.79,339.14,175.45,251.346,75.8871,474.8,0.0583287,0,0,12,1.02381,0.976382,0.958791,1.04814,0.956711,1.02357,0.965864,1.01815,1.00066
13,41.3622,-88.0071,264.25,308.92,253.84,232.34,76.58,780.76,345.41,171.899,247.246,75.337,471.84,0.0561453,0,0,13,1.01865,0.977833,1.03422,0.994956,0.950468,1.01642,0.996444,1.01424,1.00247
14,41.2884,-88.0069,264.16,298.85,245.21,224.48,74.37,801.88,358.48,152.632,226.015,73.3745,503.03,0.059735,0,0,14,1.03075,0.955669,0.99066,1.02885,1.02624,1.01555,1.04383,1.0041,0.970749
15,41.567,-88.0058,264.148,304.63,250.19,228.99,75.64,780.11,344.3,171.496,246.943,75.4372,475.48,0.0565351,0,0,15,0.967041,0.992206,0.96035,1.01327,0.999814,1.02525,0.985053,1.00987,0.997721
16,41.5525,-88.0123,264.468,305.07,250.5,229.55,75.52,781.84,345.79,169.753,244.636,74.874,476.77,0.0547302,0,0,16,0.980933,1.03551,1.02435,1.03885,1.02176,0.97915,1.0186,1.02953,1.02682
17,41.4926,-87.987,262.724,303.2,249.39,228.5,74.7,776.99,342.28,173.282,248.385,75.0943,473.79,0.0563924,0,0,17,0.975087,0.989229,0.983212,1.0226,1.04271,1.0383,1.02573,0.972316,1.02942
18,41.6323,-88.0215,265.249,310.39,254.56,232.63,77.76,787.56,350.11,167.132,242.411,75.2698,477.17,0.0554442,0,0,18,1.02754,0.995301,0.953496,0.979427,0.986711,1.0189,0.973556,1.04535,0.979146
19,41.2961,-87.9845,262.704,307.78,253.13,231.65,76.13,766.87,335.46,183.78,260.306,76.5162,459.09,0.0551431,0,0,19,0.988731,1.01524,1.02859,0.995752,1.02946,1.04598,0.969784,0.965667,1.0034
20,41.361,-87.9926,262.998,303.99,250.5,229.47,74.52,782.21,345.93,169.417,244.333,74.9072,478.22,0.0546922,0,0,20,0.963064,1.04882,1.03119,1.03474,1.02833,1.04929,1.02087,0.986984,1.00852
21,41.3324,-87.9849,262.753,310.69,255.15,233.23,77.46,792.03,353.55,163.139,237.531,74.3828,481.34,0.0566685,0,0,21,0.992863,0.950997,0.966825,0.967273,0.955106,1.04376,1.03602,0.957388,0.985727
22,41.4223,-87.9791,262.355,315.14,259.54,237.54,77.6,758.46,330.73,193.702,270.783,77.0717,443.32,0.0521856,0,0,22,0.981055,1.03302,1.03266,0.97651,0.977462,1.04777,0.975026,0.960767,1.03846
23,41.3031,-88.0139,264.729,309.66,252.78,230.84,78.82,811.34,366.31,148.265,221.312,73.0384,501.68,0.0577538,0,0,23,0.970209,0.957814,0.981959,0.968216,1.03496,0.960786,1.04909,1.01193,0.952645
24,41.2844,-87.9935,263.242,313.44,257.13,234.78,78.66,793.63,354.77,162.776,237.412,74.6271,480.19,0.0541248,0,0,24,1.01776,1.02488,1.00289,0.96199,1.0303,1.02841,1.01352,0.977776,0.966506
25,41.2425,-88.0082,264.27,301.15,247.43,226.68,74.47,785.48,347.54,165.907,240.719,74.8036,484.33,0.058165,0,0,25,1.03926,0.981943,1.04969,1.03606,0.974731,1.00629,1.00404,1.01342,0.988003
26,41.3065,-88.0018,263.767,305.95,250.63,229.26,76.69,796.45,355.69,158.409,232.448,74.0302,490.5,0.0554249,0,0,26,0.996348,1.03865,1.01561,1.0198,1.03365,0.970867,1.03144,0.993396,0.975072
27,41.391,-87.9969,263.532,310.91,255.14,233.43,77.48,781.89,346.5,171.304,246.471,75.1575,470.98,0.0546505,0,0,27,1.03727,1.00667,1.01949,0.990195,0.989892,1.0001,1.01271,0.989648,1.00705
28,41.0908,-88.0008,263.83,307.68,251.59,229.94,77.74,792.92,353.2,161.587,236.272,74.6766,485.24,0.057342,0,0,28,1.04885,0.987615,1.03991,0.992344,0.981577,0.962324,0.998626,0.984138,0.950104
29,41.3388,-87.9907,263.066,301.6,247.27,226.59,75.01,771.83,338.14,177.212,252.973,75.7512,470.23,0.0576172,0,0,29,0.977981,0.98371,1.01255,1.03719,1.00095,0.975173,0.992789,0.971822,1.0107
30,41.3818,-87.99,262.907,301.76,248.78,228.28,73.48,765.95,334.52,182.554,258.44,75.8774,464.19,0.0567194,0,0,30,1.0227,0.985651,1.04627,1.04376,0.983504,1.04061,1.0063,0.983894,1.04647
31,41.3469,-88.0101,264.569,309.91,253.18,231.3,78.61,783.49,346.93,169.879,245.499,75.6107,473.58,0.0570293,0,0,31,1.0257,0.969963,0.995703,0.971907,1.00416,0.967561,0.966265,1.00815,0.965723
32,41.4924,-88.0131,264.757,313.69,256.8,234.44,79.25,789.32,351.59,166.549,241.932,75.3738,475.63,0.0546419,0,0,32,1.00368,1.01144,0.962983,0.966268,0.964973,0.993873,0.968581,1.01903,0.958758
33,41.6865,-88.0237,265.36,314.14,257.23,235.09,79.05,798.78,358.61,158.966,233.091,74.1154,484.64,0.05365,0,0,33,1.00835,1.01906,0.959383,0.9811,0.969208,0.971896,1.02281,1.04859,0.991497
34,41.5625,-88.0124,264.643,316.43,258.86,236.66,79.77,773.39,341.11,180.025,256.094,76.0597,456.96,0.053184,0,0,34,1.00575,1.00956,1.02217,0.962329,1.02513,0.961824,0.980794,1.02646,1.0231
35,41.5205,-88.0058,264.053,309.95,254.13,232.76,77.19,782.66,347.14,170.021,244.711,74.6811,472.71,0.0544421,0,0,35,0.950975,1.00501,1.02996,1.00682,1.01021,0.965656,1.03999,1.01271,1.03911
36,41.3139,-87.9856,262.654,312.92,257.5,235.63,77.29,777.01,343.5,176.076,251.587,75.502,464.09,0.0530583,0,0,36,0.972651,1.03438,1.04426,0.989826,0.967223,1.02945,1.01428,0.969426,1.01481
37,41.3639,-87.9837,262.588,305.06,250.23,229,76.06,790.72,351.87,162.474,236.661,74.1778,485.66,0.0574706,0,0,37,1.0295,0.962398,0.963648,1.00596,0.984468,1.00809,1.0467,0.953762,0.996232
38,41.3992,-87.9837,262.556,302.1,247.45,226.72,75.38,774.08,339.84,175.219,250.644,75.4156,471.98,0.0574511,0,0,38,0.983967,0.979258,0.984581,1.03241,1.02059,0.969029,1.01182,0.95492,1.01754
39,41.4297,-87.9998,263.808,302.62,248.05,227.04,75.58,776.78,341.57,173.552,249.253,75.6922,474.16,0.0581475,0,0,39,0.953572,0.966569,0.973413,1.01412,1.01201,1.00131,0.97704,0.990631,0.990683
40,41.6046,-88.0165,264.897,304.41,249.52,228.56,75.85,770.92,337.82,179.079,255.181,76.0923,466.51,0.056344,0,0,40,1.00643,0.997429,0.996071,1.02552,1.0171,0.974002,0.967172,1.03593,1.0181
41,41.1015,-87.9897,262.927,299.28,245.72,225.09,74.19,788.53,349.33,162.827,237.271,74.4352,489.25,0.058228,0,0,41,0.986293,0.999692,1.04399,1.04766,0.994946,0.997161,1.02337,0.966624,0.976683
42,41.5648,-87.9871,262.776,309.6,253.12,231.53,78.07,778.69,344.01,173.351,248.636,75.2755,469.09,0.0545887,0,0,42,0.960292,1.01248,0.95422,0.996498,1.04873,0.956886,1.01671,0.962307,1.01642
43,41.6864,-88.0155,264.759,313.9,257.32,235.58,78.32,774.06,341.49,178.79,254.562,75.7627,460.16,0.0522695,0,0,43,1.04548,1.04144,1.01445,1.00115,0.976499,0.95506,0.99585,1.03769,1.04013
