# Drug name and concentration: 5: Quinidine at 16185μM
# GNa:
#   EC50/IC50: 12330
#   Hill Coefficient: 1.494
# GNaL:
#   EC50/IC50: 9417
#   Hill Coefficient: 1.337
# Gto:
#   EC50/IC50: 3487
#   Hill Coefficient: 1.282
# GKr:
#   EC50/IC50: 986.3
#   Hill Coefficient: 0.8404
# GKs:
#   EC50/IC50: 4899
#   Hill Coefficient: 1.363
# GK1:
#   EC50/IC50: 39590000
#   Hill Coefficient: 0.3468
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 51590
#   Hill Coefficient: 0.5892
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,43.753,-88.0715,270.644,878.59,666.47,452.15,426.44,1122.14,795.51,89.4999,164.372,67.8457,243.55,0.0121959,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,43.5796,-88.0579,269.345,916.94,707.38,460.11,456.83,1174.44,842.48,86.6109,159.848,66.9015,257.5,0.00975094,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,43.4638,-88.0518,269.319,1101.9,881.07,484.85,617.05,1481.75,1053.15,91.2403,159.184,67.6655,379.85,0.00346154,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,43.5508,-88.0503,268.859,886.07,682.1,456.79,429.28,1141.26,809.55,87.9948,161.665,67.1759,255.19,0.0120526,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,43.5438,-88.0734,271.071,1026.65,818.39,486.67,539.98,1433.43,986.38,88.2232,155.208,66.973,406.78,0.00662328,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,43.5217,-88.0796,271.538,1107.56,893.21,487.33,620.23,1505.33,1067.73,85.4098,152.124,66.6996,397.77,0.00494998,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,43.2381,-88.0571,269.765,885.66,683.7,459.9,425.76,1125.91,806.79,81.8025,155.612,66.5335,240.25,0.0133701,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,43.7959,-88.0782,271.324,1102.99,876.43,482.12,620.87,1492.54,1057.14,90.2748,157.695,67.403,389.55,0.00414421,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,43.9459,-88.0613,271.17,1561.62,1360.93,1170.85,390.77,1927.14,1483.33,103.235,171.189,74.8418,365.52,-0.0198306,1,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,43.7794,-88.0627,271.363,1559.65,1362.66,1170.27,389.38,1938.33,1490.96,95.0796,161.791,73.3141,378.68,-0.0192979,1,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
11,43.4027,-88.0483,269.384,1002.03,787,486.28,515.75,1399.45,950.54,92.4924,160.471,67.9648,397.42,0.00537274,0,0,11,0.999734,1.04267,0.9756,1.03061,0.960446,0.959836,0.978725,0.951318,0.955042
