# Drug name and concentration: 11: Ranolazine at 29223μM
# GNa:
#   EC50/IC50: 68770
#   Hill Coefficient: 1.425
# GNaL:
#   EC50/IC50: 7884
#   Hill Coefficient: 0.945
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 8208
#   Hill Coefficient: 0.8576
# GKs:
#   EC50/IC50: 36160000
#   Hill Coefficient: 0.5191
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.3851,-88.0285,267.49,445.59,345.29,302.71,142.88,797.5,359.59,198.622,275.972,77.3355,351.91,0.0572954,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,41.2218,-88.0176,266.311,448.5,349.62,306.35,142.15,814.41,376.7,184.531,260.263,75.7187,365.91,0.0569847,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,40.8437,-88.0069,265.724,449.04,349.85,306.17,142.87,807.89,369.24,190.789,267.548,76.7458,358.85,0.057863,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,41.204,-88.0083,265.576,445.03,347.7,305.07,139.96,808.9,371.83,188.197,264.272,76.0615,363.87,0.0573029,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,41.1127,-88.0314,267.62,439.74,343.45,301.36,138.38,828.47,390.85,169.854,244.766,74.8992,388.73,0.0596995,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,41.1119,-88.0393,268.199,442.07,344.12,301.38,140.69,836.51,397.61,164.151,238.576,74.4122,394.44,0.059929,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,40.9269,-88.0161,266.32,449.73,349.87,306.11,143.62,829.21,390.79,172.345,247.379,75.0203,379.48,0.0585575,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,41.2759,-88.0358,267.957,440.12,341.89,300.27,139.85,812.75,376.57,182.253,258.132,75.865,372.63,0.0586552,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,41.3853,-88.0329,267.855,450.95,350.03,306.77,144.18,797.4,357.57,201.565,279.124,77.545,346.45,0.0563261,0,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,41.1981,-88.0379,268.067,446.71,346.4,303.66,143.05,824.71,387.12,174.46,249.584,75.1104,378,0.0577988,0,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
11,40.8985,-88.0042,265.65,446.09,345.86,302.73,143.36,813.19,375.57,184.38,260.931,76.5366,367.1,0.0583441,0,0,11,0.999734,1.04267,0.9756,1.03061,0.960446,0.959836,0.978725,0.951318,0.955042
12,41.263,-88.0281,267.076,441.1,344.46,302.45,138.65,803.58,366.65,192.099,269.086,76.9735,362.48,0.0585079,0,0,12,1.02381,0.976382,0.958791,1.04814,0.956711,1.02357,0.965864,1.01815,1.00066
13,41.0488,-88.0259,266.945,450.77,351.6,307.78,142.99,813.61,374.75,186.72,263.01,76.2762,362.84,0.0574004,0,0,13,1.01865,0.977833,1.03422,0.994956,0.950468,1.01642,0.996444,1.01424,1.00247
14,40.985,-88.0246,266.767,439.53,342.87,300.77,138.76,830.93,393.03,167.362,241.934,74.5591,391.4,0.0600745,0,0,14,1.03075,0.955669,0.99066,1.02885,1.02624,1.01555,1.04383,1.0041,0.970749
15,41.2275,-88.0248,266.827,443.16,345.44,302.85,140.31,809.88,372.67,186.957,263.418,76.4478,366.72,0.0582296,0,0,15,0.967041,0.992206,0.96035,1.01327,0.999814,1.02525,0.985053,1.00987,0.997721
16,41.209,-88.0298,267.467,444.12,345.32,303.21,140.91,811,374.38,185.219,261.133,75.9007,366.88,0.0573783,0,0,16,0.980933,1.03551,1.02435,1.03885,1.02176,0.97915,1.0186,1.02953,1.02682
17,41.1668,-88.0061,265.373,440.87,344.26,302.28,138.59,804.86,368.72,189.826,266.026,76.1855,363.99,0.0577017,0,0,17,0.975087,0.989229,0.983212,1.0226,1.04271,1.0383,1.02573,0.972316,1.02942
18,41.2869,-88.0404,268.39,447.97,348.46,304.74,143.23,819.68,381.22,180.748,256.915,76.1529,371.71,0.0582196,0,0,18,1.02754,0.995301,0.953496,0.979427,0.986711,1.0189,0.973556,1.04535,0.979146
19,40.9526,-88.0049,265.348,442.54,345.52,302.94,139.6,795.32,357.67,199.999,277.488,77.4751,352.78,0.0579296,0,0,19,0.988731,1.01524,1.02859,0.995752,1.02946,1.04598,0.969784,0.965667,1.0034
20,40.9949,-88.0127,265.677,440.08,344.58,302.58,137.5,810.04,373.74,185.286,261.269,75.9696,369.96,0.0577221,0,0,20,0.963064,1.04882,1.03119,1.03474,1.02833,1.04929,1.02087,0.986984,1.00852
21,41.0176,-88.0046,265.315,452.76,353.45,308.7,144.06,825.52,386.57,177.363,252.737,75.3608,372.76,0.0573615,0,0,21,0.992863,0.950997,0.966825,0.967273,0.955106,1.04376,1.03602,0.957388,0.985727
22,41.0667,-88.0002,265.053,451.87,352.97,309.05,142.82,790.18,349.18,209.583,287.49,77.8926,338.31,0.0554354,0,0,22,0.981055,1.03302,1.03266,0.97651,0.977462,1.04777,0.975026,0.960767,1.03846
23,40.9882,-88.0305,267.544,449.57,347.73,303.74,145.83,843.19,403.16,160.826,234.885,74.0465,393.62,0.0596385,0,0,23,0.970209,0.957814,0.981959,0.968216,1.03496,0.960786,1.04909,1.01193,0.952645
24,40.907,-88.0136,265.944,447.96,348.75,304.72,143.24,824.13,385.77,176.293,251.841,75.5341,376.17,0.0581283,0,0,24,1.01776,1.02488,1.00289,0.96199,1.0303,1.02841,1.01352,0.977776,0.966506
25,40.938,-88.0263,266.975,443.22,345.93,303.52,139.7,815.63,378.57,181.519,257.431,75.8982,372.41,0.0588745,0,0,25,1.03926,0.981943,1.04969,1.03606,0.974731,1.00629,1.00404,1.01342,0.988003
26,40.934,-88.0196,266.527,444.19,344.77,302.07,142.12,825.35,387.77,172.898,247.999,75.0873,381.16,0.0585963,0,0,26,0.996348,1.03865,1.01561,1.0198,1.03365,0.970867,1.03144,0.993396,0.975072
27,41.0453,-88.0157,266.216,450.45,350.4,306.67,143.78,813.4,374.99,186.119,262.228,76.0953,362.95,0.0570366,0,0,27,1.03727,1.00667,1.01949,0.990195,0.989892,1.0001,1.01271,0.989648,1.00705
28,40.7675,-88.0184,266.642,449.04,348.05,304.26,144.78,824.37,385.98,175.785,251.481,75.6824,375.33,0.0591938,0,0,28,1.04885,0.987615,1.03991,0.992344,0.981577,0.962324,0.998626,0.984138,0.950104
29,41.0343,-88.0082,265.881,443.28,344.37,302.27,141.01,800.54,363.84,194.232,271.1,76.854,357.26,0.0582241,0,0,29,0.977981,0.98371,1.01255,1.03719,1.00095,0.975173,0.992789,0.971822,1.0107
30,41.0834,-88.0091,265.568,442.92,346.91,304.96,137.96,795.07,357.97,200.14,277.119,76.9649,352.15,0.0570748,0,0,30,1.0227,0.985651,1.04627,1.04376,0.983504,1.04061,1.0063,0.983894,1.04647
31,41.0371,-88.0277,267.446,448.83,347.12,303.38,145.45,815.01,376.68,183.969,260.509,76.526,366.18,0.0590861,0,0,31,1.0257,0.969963,0.995703,0.971907,1.00416,0.967561,0.966265,1.00815,0.965723
32,41.135,-88.0322,267.819,452.17,350.76,306.17,146,822.54,383.24,179.733,255.962,76.2158,370.37,0.0580021,0,0,32,1.00368,1.01144,0.962983,0.966268,0.964973,0.993873,0.968581,1.01903,0.958758
33,41.3174,-88.0414,268.402,454.95,352.64,308.07,146.88,832.73,393.43,171.775,246.775,74.9876,377.78,0.0568968,0,0,33,1.00835,1.01906,0.959383,0.9811,0.969208,0.971896,1.02281,1.04859,0.991497
34,41.2225,-88.0298,267.556,453.27,350.28,306.33,146.94,805.32,365.79,194.13,271.002,76.8583,352.05,0.056779,0,0,34,1.00575,1.00956,1.02217,0.962329,1.02513,0.961824,0.980794,1.02646,1.0231
35,41.1831,-88.0227,266.826,450.92,349.8,306.56,144.36,813.77,376.01,185.084,260.749,75.6521,362.85,0.0565151,0,0,35,0.950975,1.00501,1.02996,1.00682,1.01021,0.965656,1.03999,1.01271,1.03911
36,40.9577,-88.0058,265.421,452.01,352.95,308.88,143.13,809.1,369.78,191.09,267.509,76.4045,357.09,0.0560471,0,0,36,0.972651,1.03438,1.04426,0.989826,0.967223,1.02945,1.01428,0.969426,1.01481
37,41.0545,-88.0021,265.338,447.78,348.68,305.26,142.52,821.68,384.08,177.776,253.068,75.2782,373.9,0.0578121,0,0,37,1.0295,0.962398,0.963648,1.00596,0.984468,1.00809,1.0467,0.953762,0.996232
38,41.0912,-88.0009,265.351,443.55,344.06,301.93,141.62,802.36,365.95,192.271,268.825,76.5406,358.81,0.0579953,0,0,38,0.983967,0.979258,0.984581,1.03241,1.02059,0.969029,1.01182,0.95492,1.01754
39,41.1184,-88.018,266.522,442.07,343.67,301.33,140.74,805.82,368.98,189.602,266.364,76.7485,363.75,0.0590001,0,0,39,0.953572,0.966569,0.973413,1.01412,1.01201,1.00131,0.97704,0.990631,0.990683
40,41.2874,-88.0337,267.875,443.38,343.96,301.89,141.49,800.26,363.22,194.974,272.066,77.0783,356.88,0.0581727,0,0,40,1.00643,0.997429,0.996071,1.02552,1.0171,0.974002,0.967172,1.03593,1.0181
41,40.7887,-88.0079,265.736,440.94,343.88,301.78,139.16,817.08,380.47,178.887,254.517,75.6163,376.14,0.059139,0,0,41,0.986293,0.999692,1.04399,1.04766,0.994946,0.997161,1.02337,0.966624,0.976683
42,41.2062,-88.0045,265.612,447.69,345.92,302.93,144.76,807.78,370.51,188.857,265.134,76.2632,360.09,0.057201,0,0,42,0.960292,1.01248,0.95422,0.996498,1.04873,0.956886,1.01671,0.962307,1.01642
43,41.3297,-88.0328,267.732,454.38,351.9,308.15,146.23,806.81,367.24,193.38,269.998,76.6041,352.43,0.0556402,0,0,43,1.04548,1.04144,1.01445,1.00115,0.976499,0.95506,0.99585,1.03769,1.04013
44,41.1557,-88.0062,265.746,455.45,354.13,309.99,145.46,787.51,345.57,213.483,291.716,78.2191,332.06,0.0550779,0,0,44,1.02871,1.02767,1.02663,0.982016,0.954556,0.998778,0.962404,0.973844,1.04585
