# Drug name and concentration: 7: Ranolazine at 13637.4μM
# GNa:
#   EC50/IC50: 68770
#   Hill Coefficient: 1.425
# GNaL:
#   EC50/IC50: 7884
#   Hill Coefficient: 0.945
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 8208
#   Hill Coefficient: 0.8576
# GKs:
#   EC50/IC50: 36160000
#   Hill Coefficient: 0.5191
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,41.4294,-88.023,266.529,396.75,313.9,280.44,116.31,778.43,349.95,198.125,275.524,77.3855,381.68,0.0583943,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,41.2697,-88.012,265.498,397.81,316.24,282.6,115.21,794.46,363.72,183.77,259.526,75.7438,396.65,0.0586409,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,40.8924,-88.001,264.978,398.14,316.25,282.31,115.83,787.66,357.64,190.131,266.934,76.7904,389.52,0.0594721,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,41.2518,-88.0025,264.935,393.66,313.56,280.55,113.11,789.15,359.42,187.177,263.257,76.0672,395.49,0.0592671,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,41.1469,-88.0259,266.465,388.68,309.33,276.67,112.01,809.34,374.46,168.816,243.695,74.8671,420.66,0.0615551,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,41.1661,-88.0339,267.448,392.56,311.43,277.99,114.57,817.9,381.06,163.187,237.591,74.3916,425.34,0.0613493,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,40.9745,-88.0107,265.641,397.11,314.94,281.16,115.95,808.73,374.56,171.443,246.478,75.0225,411.62,0.0605366,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,41.3299,-88.0306,267.174,390.33,309.37,276.84,113.49,794.41,363.12,181.208,257.078,75.8577,404.08,0.0600923,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,41.439,-88.0274,267.047,399.83,316.84,283.18,116.65,776.71,348.37,201.195,278.834,77.6254,376.88,0.0577709,0,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,41.2573,-88.0327,267.27,395.96,313.34,280.04,115.92,805.45,372.02,173.575,248.703,75.1153,409.49,0.0590575,0,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
11,40.9555,-87.9985,264.853,394.54,312.07,278.57,115.97,793.56,362.13,183.471,260.035,76.5513,399.02,0.0598021,0,0,11,0.999734,1.04267,0.9756,1.03061,0.960446,0.959836,0.978725,0.951318,0.955042
12,41.3093,-88.0223,266.337,389.8,310.33,277.76,112.04,783.98,354.66,191.165,268.167,76.9892,394.18,0.0604518,0,0,12,1.02381,0.976382,0.958791,1.04814,0.956711,1.02357,0.965864,1.01815,1.00066
13,41.0973,-88.0202,266.215,399.41,317.61,283.64,115.77,792.83,362.04,186.161,262.501,76.3276,393.42,0.0590699,0,0,13,1.01865,0.977833,1.03422,0.994956,0.950468,1.01642,0.996444,1.01424,1.00247
14,41.0321,-88.0192,266.053,388.96,309.17,276.41,112.55,812.38,376.74,166.162,240.688,74.5149,423.42,0.0619097,0,0,14,1.03075,0.955669,0.99066,1.02885,1.02624,1.01555,1.04383,1.0041,0.970749
15,41.2803,-88.019,266.1,393.25,312.54,279.29,113.96,790.66,360.1,186.112,262.592,76.4681,397.41,0.0597578,0,0,15,0.967041,0.992206,0.96035,1.01327,0.999814,1.02525,0.985053,1.00987,0.997721
16,41.2517,-88.0244,266.494,393.85,312.51,279.68,114.17,791.92,361.46,184.395,260.318,75.9103,398.07,0.0586991,0,0,16,0.980933,1.03551,1.02435,1.03885,1.02176,0.97915,1.0186,1.02953,1.02682
17,41.2197,-88.0004,264.741,391.47,311.67,278.88,112.59,786.45,357.16,188.681,264.872,76.1788,394.98,0.0592826,0,0,17,0.975087,0.989229,0.983212,1.0226,1.04271,1.0383,1.02573,0.972316,1.02942
18,41.3442,-88.0348,267.621,398.25,315.86,281.66,116.59,799.72,367.27,180.229,256.444,76.2022,401.47,0.0594936,0,0,18,1.02754,0.995301,0.953496,0.979427,0.986711,1.0189,0.973556,1.04535,0.979146
19,41.0084,-87.9989,264.708,394.15,313.7,280.29,113.86,776.73,348.56,199.157,276.679,77.5087,382.58,0.0591652,0,0,19,0.988731,1.01524,1.02859,0.995752,1.02946,1.04598,0.969784,0.965667,1.0034
20,41.0535,-88.0068,264.959,391,311.99,279.16,111.84,791.7,361.2,184.194,260.169,75.9631,400.7,0.0589568,0,0,20,0.963064,1.04882,1.03119,1.03474,1.02833,1.04929,1.02087,0.986984,1.00852
21,41.0691,-87.9987,264.692,401.39,319.27,284.6,116.79,804.6,371.7,176.712,252.12,75.3955,403.21,0.0591286,0,0,21,0.992863,0.950997,0.966825,0.967273,0.955106,1.04376,1.03602,0.957388,0.985727
22,41.1218,-87.994,264.287,402.46,320.6,286.29,116.17,769.81,342,209.236,287.228,77.9792,367.35,0.0566057,0,0,22,0.981055,1.03302,1.03266,0.97651,0.977462,1.04777,0.975026,0.960767,1.03846
23,41.0275,-88.0254,266.7,399.12,314.87,280.52,118.6,823.66,385.75,160.126,234.18,74.0422,424.54,0.0610579,0,0,23,0.970209,0.957814,0.981959,0.968216,1.03496,0.960786,1.04909,1.01193,0.952645
24,40.969,-88.0078,265.232,399.4,316.92,282.35,117.05,805.03,371.58,175.599,251.173,75.5615,405.63,0.0590774,0,0,24,1.01776,1.02488,1.00289,0.96199,1.0303,1.02841,1.01352,0.977776,0.966506
25,40.9841,-88.0207,266.234,391.88,311.76,278.88,113,796.11,364.47,180.536,256.448,75.8996,404.23,0.0606857,0,0,25,1.03926,0.981943,1.04969,1.03606,0.974731,1.00629,1.00404,1.01342,0.988003
26,40.9957,-88.0142,265.828,394.13,312.03,278.68,115.45,806.77,372.73,171.853,246.938,75.0734,412.64,0.0598048,0,0,26,0.996348,1.03865,1.01561,1.0198,1.03365,0.970867,1.03144,0.993396,0.975072
27,41.102,-88.01,265.548,399.94,317.32,283.26,116.68,793.35,362.54,185.453,261.601,76.1363,393.41,0.0584178,0,0,27,1.03727,1.00667,1.01949,0.990195,0.989892,1.0001,1.01271,0.989648,1.00705
28,40.8181,-88.013,265.884,397.81,314.46,280.41,117.4,804.49,370.87,175.025,250.739,75.7017,406.68,0.0607145,0,0,28,1.04885,0.987615,1.03991,0.992344,0.981577,0.962324,0.998626,0.984138,0.950104
29,41.0807,-88.0027,265.12,392.19,310.88,278.17,114.02,781.44,352.79,193.19,270.063,76.8604,389.25,0.0600273,0,0,29,0.977981,0.98371,1.01255,1.03719,1.00095,0.975173,0.992789,0.971822,1.0107
30,41.1286,-88.0032,264.845,392.1,313.08,280.56,111.54,775.66,348.37,199.131,276.122,76.9793,383.56,0.0589498,0,0,30,1.0227,0.985651,1.04627,1.04376,0.983504,1.04061,1.0063,0.983894,1.04647
31,41.0735,-88.0223,266.592,398.74,314.68,280.47,118.27,795.11,363.36,183.529,260.115,76.5738,396.37,0.0604794,0,0,31,1.0257,0.969963,0.995703,0.971907,1.00416,0.967561,0.966265,1.00815,0.965723
32,41.1796,-88.0265,266.799,401.91,317.99,283.16,118.75,801.88,368.89,179.442,255.737,76.282,399.97,0.0591483,0,0,32,1.00368,1.01144,0.962983,0.966268,0.964973,0.993873,0.968581,1.01903,0.958758
33,41.3793,-88.036,267.615,403.64,319.24,284.56,119.08,811.91,377.4,171.277,246.324,75.0346,408.27,0.0581178,0,0,33,1.00835,1.01906,0.959383,0.9811,0.969208,0.971896,1.02281,1.04859,0.991497
34,41.2656,-88.0245,266.694,403.86,318.73,284.26,119.6,785.16,355.42,193.96,270.909,76.9374,381.3,0.0578021,0,0,34,1.00575,1.00956,1.02217,0.962329,1.02513,0.961824,0.980794,1.02646,1.0231
35,41.2363,-88.0175,266.072,399.88,316.65,283.04,116.84,793.86,363.31,184.332,260.026,75.6814,393.98,0.057966,0,0,35,0.950975,1.00501,1.02996,1.00682,1.01021,0.965656,1.03999,1.01271,1.03911
36,41.017,-87.9998,264.758,401.53,319.65,285.38,116.15,788.65,358.72,190.512,266.985,76.4606,387.12,0.057322,0,0,36,0.972651,1.03438,1.04426,0.989826,0.967223,1.02945,1.01428,0.969426,1.01481
37,41.1027,-87.9965,264.605,396.21,314.56,280.92,115.29,801.79,369.36,176.804,252.094,75.2769,405.58,0.0596692,0,0,37,1.0295,0.962398,0.963648,1.00596,0.984468,1.00809,1.0467,0.953762,0.996232
38,41.1383,-87.9955,264.589,392.6,310.81,278.05,114.55,783.48,354.59,191.161,267.711,76.5378,390.88,0.0597894,0,0,38,0.983967,0.979258,0.984581,1.03241,1.02059,0.969029,1.01182,0.95492,1.01754
39,41.1637,-88.0124,265.707,391.96,310.78,277.74,114.22,786.85,356.91,188.687,265.46,76.7601,394.89,0.0606984,0,0,39,0.953572,0.966569,0.973413,1.01412,1.01201,1.00131,0.97704,0.990631,0.990683
40,41.3381,-88.0284,267.083,393.29,311.41,278.55,114.74,781.21,352.43,194.178,271.3,77.11,387.92,0.0596711,0,0,40,1.00643,0.997429,0.996071,1.02552,1.0171,0.974002,0.967172,1.03593,1.0181
