# Drug name and concentration: 12: Sotalol at 293800μM
# GNa:
#   EC50/IC50: 1144000000
#   Hill Coefficient: 0.5089
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: 43140000
#   Hill Coefficient: 0.6632
# GKr:
#   EC50/IC50: 107100
#   Hill Coefficient: 0.785
# GKs:
#   EC50/IC50: 4222000
#   Hill Coefficient: 1.167
# GK1:
#   EC50/IC50: 3050000
#   Hill Coefficient: 1.204
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 7062000
#   Hill Coefficient: 0.8651
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,42.4801,-88.0189,265.779,491.5,383.17,332.46,159.04,847.58,393.96,180.779,257.264,76.4743,356.08,0.0200489,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,42.3019,-88.0075,264.999,491.07,385.1,334.41,156.66,861.39,412.52,168.956,243.942,74.975,370.32,0.0218187,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,41.8308,-87.9964,264.216,493.49,387.29,335.89,157.6,856.7,404.68,174.183,250.134,75.9393,363.21,0.021935,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,42.2332,-87.9979,264.355,486.1,382.14,332.46,153.64,854.55,406.17,172.365,247.7,75.3235,368.45,0.0228109,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,42.141,-88.0209,265.962,481.66,379.05,330.08,151.58,873.75,428.11,156.053,230.266,74.202,392.09,0.0244565,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,42.2014,-88.0287,266.542,485.75,380.83,330.76,154.99,883.03,436.5,150.82,224.556,73.7256,397.28,0.0241192,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,41.9374,-88.0063,264.883,491.72,385.6,334.79,156.93,875.31,428.27,158.266,232.596,74.3185,383.59,0.0238232,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,42.3621,-88.0263,266.564,483.86,378.48,329.41,154.45,860.17,413.66,166.59,241.701,75.0999,376.31,0.0220569,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,42.4595,-88.0237,266.572,496.45,388,336.83,159.62,848.38,391.69,183.003,259.668,76.6529,351.93,0.0189601,0,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,42.4036,-88.0284,266.768,492.78,384.97,334.38,158.4,873.79,426.47,159.855,234.258,74.3919,381.01,0.0197744,0,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
11,42.038,-87.9935,264.05,493.39,385.75,334.58,158.81,863,413.17,168.881,244.681,75.789,369.61,0.0203555,0,0,11,0.999734,1.04267,0.9756,1.03061,0.960446,0.959836,0.978725,0.951318,0.955042
12,42.2351,-88.0179,265.832,483.22,380.1,331.06,152.16,850.8,401.79,175.037,251.19,76.1411,367.58,0.0230638,0,0,12,1.02381,0.976382,0.958791,1.04814,0.956711,1.02357,0.965864,1.01815,1.00066
13,42.0635,-88.0159,265.654,494.57,388.52,337.19,157.38,862.48,411.47,170.31,245.783,75.462,367.91,0.021507,0,0,13,1.01865,0.977833,1.03422,0.994956,0.950468,1.01642,0.996444,1.01424,1.00247
14,42.0009,-88.0142,265.469,480.78,377.81,328.84,151.94,875.42,429.93,153.941,227.84,73.888,394.64,0.0255092,0,0,14,1.03075,0.955669,0.99066,1.02885,1.02624,1.01555,1.04383,1.0041,0.970749
15,42.294,-88.0142,265.528,487.2,382.26,332.13,155.07,858.01,409.14,170.698,246.362,75.652,370.81,0.0221173,0,0,15,0.967041,0.992206,0.96035,1.01327,0.999814,1.02525,0.985053,1.00987,0.997721
16,42.3596,-88.0201,265.747,489.27,383.01,333.13,156.14,859.45,411,169.475,244.634,75.1475,370.18,0.0197674,0,0,16,0.980933,1.03551,1.02435,1.03885,1.02176,0.97915,1.0186,1.02953,1.02682
17,42.2387,-87.9953,264.124,483.37,379.52,330.12,153.25,850.96,402.96,173.877,249.341,75.4525,367.59,0.0224264,0,0,17,0.975087,0.989229,0.983212,1.0226,1.04271,1.0383,1.02573,0.972316,1.02942
18,42.387,-88.03,266.692,493.99,386.91,335.31,158.68,869.92,420.5,164.808,240.15,75.3301,375.93,0.0212918,0,0,18,1.02754,0.995301,0.953496,0.979427,0.986711,1.0189,0.973556,1.04535,0.979146
19,41.9921,-87.9936,264.05,488.17,383.37,332.72,155.45,844.65,391.2,182.264,258.918,76.6422,356.48,0.0212454,0,0,19,0.988731,1.01524,1.02859,0.995752,1.02946,1.04598,0.969784,0.965667,1.0034
20,42.1855,-88.0009,264.455,486.23,382.96,333.02,153.21,858.55,410.3,169.759,245.02,75.2491,372.32,0.0198796,0,0,20,0.963064,1.04882,1.03119,1.03474,1.02833,1.04929,1.02087,0.986984,1.00852
21,42.0851,-87.9936,264.094,495.78,389.5,337.3,158.48,872.57,423.71,162.834,237.496,74.6504,376.79,0.0227643,0,0,21,0.992863,0.950997,0.966825,0.967273,0.955106,1.04376,1.03602,0.957388,0.985727
22,42.19,-87.989,263.717,498.96,391.73,339.32,159.64,841.68,380.83,190.752,267.799,77.0356,342.72,0.017938,0,0,22,0.981055,1.03302,1.03266,0.97651,0.977462,1.04777,0.975026,0.960767,1.03846
23,42.0565,-88.0208,265.87,493.18,384.46,333.03,160.15,889.46,442.05,148.183,221.582,73.389,396.28,0.024361,0,0,23,0.970209,0.957814,0.981959,0.968216,1.03496,0.960786,1.04909,1.01193,0.952645
24,42.1026,-88.0019,264.577,495.94,388.52,336.06,159.88,874.29,425.31,161.641,236.462,74.8098,378.35,0.0205156,0,0,24,1.01776,1.02488,1.00289,0.96199,1.0303,1.02841,1.01352,0.977776,0.966506
25,41.9139,-88.0162,265.627,485.94,382.24,332.68,153.26,862.68,415.47,165.938,241.075,75.1266,376.74,0.0231198,0,0,25,1.03926,0.981943,1.04969,1.03606,0.974731,1.00629,1.00404,1.01342,0.988003
26,42.1331,-88.0091,264.901,490.74,383.72,333.04,157.7,873.84,426.87,158.834,233.252,74.4072,383.1,0.0207673,0,0,26,0.996348,1.03865,1.01561,1.0198,1.03365,0.970867,1.03144,0.993396,0.975072
27,42.164,-88.0054,264.795,495.85,388.24,336.56,159.29,862.69,411.71,170.164,245.502,75.3259,366.84,0.0203288,0,0,27,1.03727,1.00667,1.01949,0.990195,0.989892,1.0001,1.01271,0.989648,1.00705
28,41.7707,-88.0086,264.969,494.11,386.3,334.83,159.28,872.95,424.78,160.97,235.908,74.9271,378.84,0.0228807,0,0,28,1.04885,0.987615,1.03991,0.992344,0.981577,0.962324,0.998626,0.984138,0.950104
29,42.0019,-87.9987,264.256,485.46,379.89,330.51,154.95,847.16,397.64,177.434,253.512,76.0658,361.7,0.0229476,0,0,29,0.977981,0.98371,1.01255,1.03719,1.00095,0.975173,0.992789,0.971822,1.0107
30,42.0666,-87.9988,264.401,484.45,381.75,332.63,151.82,841.54,390.2,182.647,258.83,76.1709,357.09,0.0218525,0,0,30,1.0227,0.985651,1.04627,1.04376,0.983504,1.04061,1.0063,0.983894,1.04647
31,41.9903,-88.0183,265.777,493.47,384.69,333.22,160.25,864.01,414.33,167.836,243.537,75.6891,370.54,0.0233166,0,0,31,1.0257,0.969963,0.995703,0.971907,1.00416,0.967561,0.966265,1.00815,0.965723
32,42.2624,-88.0216,266.063,500.09,390.89,338.05,162.04,874.06,423.22,164.108,239.52,75.4009,373.97,0.020269,0,0,32,1.00368,1.01144,0.962983,0.966268,0.964973,0.993873,0.968581,1.01903,0.958758
33,42.5619,-88.0316,266.972,502.01,391.92,339.29,162.72,883.34,434.34,157.321,231.585,74.2535,381.33,0.0189867,0,0,33,1.00835,1.01906,0.959383,0.9811,0.969208,0.971896,1.02281,1.04859,0.991497
34,42.3074,-88.0209,265.875,499.74,388.68,336.39,163.35,856.37,401.41,176.713,252.722,75.9971,356.63,0.0196196,0,0,34,1.00575,1.00956,1.02217,0.962329,1.02513,0.961824,0.980794,1.02646,1.0231
35,42.3179,-88.0136,265.268,494.96,386.46,335.49,159.47,861.96,412.28,169.377,244.295,74.9074,367,0.0200631,0,0,35,0.950975,1.00501,1.02996,1.00682,1.01021,0.965656,1.03999,1.01271,1.03911
36,42.1348,-87.9946,264.034,499.05,392.04,339.67,159.38,859.7,405.28,174.704,250.352,75.6367,360.65,0.018364,0,0,36,0.972651,1.03438,1.04426,0.989826,0.967223,1.02945,1.01428,0.969426,1.01481
37,42.1235,-87.9916,263.828,489.83,383.98,333.32,156.51,867.33,420.21,163.451,238.059,74.5973,377.5,0.0232205,0,0,37,1.0295,0.962398,0.963648,1.00596,0.984468,1.00809,1.0467,0.953762,0.996232
38,42.0923,-87.9914,263.817,485.34,379.06,329.64,155.7,848.2,399.54,176.05,251.854,75.7924,362.86,0.0231208,0,0,38,0.983967,0.979258,0.984581,1.03241,1.02059,0.969029,1.01182,0.95492,1.01754
39,42.0749,-88.008,265.084,484.47,379.31,329.67,154.8,852.73,404.29,173.061,249.011,75.9385,368.26,0.0240443,0,0,39,0.953572,0.966569,0.973413,1.01412,1.01201,1.00131,0.97704,0.990631,0.990683
40,42.2851,-88.0247,266.603,486.99,380.47,330.89,156.1,848.78,398.34,177.376,253.61,76.2229,361.79,0.0218697,0,0,40,1.00643,0.997429,0.996071,1.02552,1.0171,0.974002,0.967172,1.03593,1.0181
41,41.8136,-87.9973,264.158,484.24,380.62,331.22,153.02,863.39,417.08,164.189,239.113,74.9129,379.15,0.0231336,0,0,41,0.986293,0.999692,1.04399,1.04766,0.994946,0.997161,1.02337,0.966624,0.976683
42,42.3542,-87.9948,264.053,492.77,383.1,332.07,160.7,855.95,405.79,173.037,248.574,75.5263,363.18,0.0207987,0,0,42,0.960292,1.01248,0.95422,0.996498,1.04873,0.956886,1.01671,0.962307,1.01642
43,42.5164,-88.0238,266.572,501.33,390.87,338.87,162.46,858.42,403.21,176.1,251.886,75.7742,357.09,0.0173459,0,0,43,1.04548,1.04144,1.01445,1.00115,0.976499,0.95506,0.99585,1.03769,1.04013
44,42.2486,-87.9961,264.153,502.08,392.66,340.13,161.95,839.46,377.08,193.882,271.219,77.3249,337.38,0.0176327,0,0,44,1.02871,1.02767,1.02663,0.982016,0.954556,0.998778,0.962404,0.973844,1.04585
45,42.1849,-88.0029,264.565,495.46,385.96,333.87,161.59,854.98,401.21,176.541,252.999,76.4465,359.52,0.0195994,0,0,45,1.01152,1.04906,0.989099,0.972991,1.04779,0.983794,0.955893,0.978953,0.978301
46,42.1027,-88.0083,264.923,489.24,382.82,332.79,156.45,844.19,390.81,182.588,259.378,76.7773,354.95,0.0198266,0,0,46,1.0412,1.04737,1.03564,1.04011,1.00167,0.972533,0.956272,0.996674,1.00511
47,42.4896,-88.0278,266.878,505.49,392.34,339.17,166.32,849.11,387.25,186.338,263.205,76.8553,343.62,0.0169188,0,0,47,1.00096,1.04347,1.03047,0.95174,1.01855,0.953754,0.951743,1.0478,1.04352
48,42.3966,-88.0136,265.289,491.13,384.69,334.15,156.98,861.12,412.11,169.155,244.181,75.0151,369.99,0.0190467,0,0,48,0.961421,1.04459,1.02386,1.01773,1.04095,1.00412,1.03041,1.01668,1.03059
49,42.2601,-88.013,265.328,485.61,382.87,333.08,152.53,878.39,432.15,154.71,228.722,74.001,392.78,0.0212543,0,0,49,1.01685,1.03035,0.979946,1.04507,0.995641,1.04154,1.04058,1.00759,0.971884
50,42.103,-88.0245,266.207,476.67,375.04,326.66,150.01,868.81,423.57,157.916,232.552,74.6257,392.14,0.0249823,0,0,50,1.03679,0.984074,0.976216,1.04118,1.04903,1.03715,0.999339,1.03123,0.962398
51,42.3589,-88.018,265.763,496.13,388.13,336.61,159.52,876.43,428.6,159.397,233.601,74.1934,380.3,0.0223091,0,0,51,0.976124,0.952567,0.957704,0.987849,0.959236,0.98755,1.04484,1.01535,1.00625
52,42.2007,-88.0026,264.619,486.08,380.46,330.86,155.22,849.04,400,175.934,251.418,75.472,362.96,0.0230786,0,0,52,1.00127,0.95832,1.00797,1.00867,1.03705,1.00545,1.02953,0.988291,1.04849
53,42.3586,-88.0081,265.149,490.54,384.38,333.41,157.13,850.2,397.3,178.719,254.926,76.1961,359.66,0.0218879,0,0,53,0.966251,0.973456,0.951714,0.977035,1.01127,1.04424,0.979766,0.99889,1.02267
54,42.228,-87.9948,264.11,490.11,384.55,333.27,156.84,868.37,420.5,163.705,238.601,74.8853,378.26,0.0217242,0,0,54,1.04915,1.00474,0.952636,0.984849,1.02794,1.0464,1.02176,0.963153,0.980251
55,42.2954,-88.0237,266.165,490.56,385.04,334.96,155.6,848.44,395.56,179.745,255.786,76.0293,357.88,0.0205202,0,0,55,0.964963,0.99355,1.04034,1.02039,0.982694,1.00997,0.991127,1.04291,1.04955
56,42.0076,-88.0102,265.214,495.84,387.34,334.94,160.9,870.65,421.04,164.179,239.488,75.2977,374.81,0.0220089,0,0,56,1.01254,0.996538,1.0001,0.95259,1.02381,1.00241,0.982475,0.991761,0.957178
