# Drug name and concentration: 5: Terfenadine at 20μM
# GNa:
#   EC50/IC50: 4803
#   Hill Coefficient: 1.015
# GNaL:
#   EC50/IC50: 20060
#   Hill Coefficient: 0.6011
# Gto:
#   EC50/IC50: 240000
#   Hill Coefficient: 0.2559
# GKr:
#   EC50/IC50: 20.4
#   Hill Coefficient: 0.6118
# GKs:
#   EC50/IC50: 399800
#   Hill Coefficient: 0.543
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 700.4
#   Hill Coefficient: 0.6601
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,42.0092,-88.0168,265.441,402.73,322.82,288.23,114.5,814.68,379.06,172.357,248.44,76.0719,411.95,0.0355246,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,41.8138,-88.0056,264.612,401.57,323.32,288.99,112.58,829.15,390.71,160.526,235.021,74.4845,427.58,0.0373588,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,41.4112,-87.9943,263.906,402.98,324.36,289.61,113.37,823,385.64,165.823,241.329,75.4948,420.02,0.0376015,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,41.7842,-87.9961,263.967,396.42,319.72,286.14,110.28,823.33,385.89,163.364,238.167,74.7929,426.91,0.0385626,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,41.6822,-88.0192,265.497,392.55,316.61,283.37,109.18,843.47,400.06,148.033,221.668,73.6249,450.92,0.0402841,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,41.7018,-88.0272,266.043,397.93,320.04,285.85,112.08,852.23,406.93,143.575,216.771,73.1862,454.3,0.0394392,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,41.487,-88.0046,264.582,400.49,322.02,287.74,112.75,842.68,400.35,150.376,224.173,73.7874,442.19,0.0396023,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,41.8798,-88.0245,265.885,395.29,317.57,284.16,111.13,829.61,390.12,158.29,232.881,74.5807,434.32,0.0377406,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,41.9905,-88.0214,265.801,405.06,325.32,290.71,114.35,812.8,377.73,174.91,251.217,76.2959,407.74,0.0349332,0,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,41.8441,-88.0267,265.983,402.17,322.82,288.56,113.61,841.1,399.43,152.064,225.966,73.8916,438.93,0.0356813,0,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
