# Drug name and concentration: 12: Verapamil at 1620μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gto:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GKr:
#   EC50/IC50: 499
#   Hill Coefficient: 1.1
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 202
#   Hill Coefficient: 1.1
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,38.6208,-88.0913,270.929,495.31,390.52,334.61,160.7,1183.52,599.31,36.8842,96.581,59.6924,688.21,0.0329866,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,38.4288,-88.0819,270.324,492.85,390.7,335.5,157.35,1190.01,600.39,35.7007,94.3508,58.6462,697.16,0.0353099,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,38.2352,-88.0702,269.421,496.69,393.76,337.78,158.91,1188.06,601.24,36.2443,95.5842,59.3358,691.37,0.0343856,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,38.366,-88.0734,269.682,488.67,387.99,333.36,155.31,1186.56,597.74,35.9552,94.7233,58.7643,697.89,0.0361842,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,38.5424,-88.092,271.154,486.44,385.53,331.23,155.21,1192.11,598.52,34.7956,93.3093,58.51,705.67,0.0368509,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,38.6088,-88.0984,271.675,489.53,386.82,331.87,157.66,1195.64,600.28,34.359,92.7219,58.3592,706.11,0.0363791,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,38.3487,-88.0785,270.091,494.86,391.24,335.81,159.05,1194.7,601.69,34.8773,93.3567,58.4756,699.84,0.0364161,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,38.6161,-88.0974,271.423,489.05,385.86,331.32,157.73,1187.27,597.68,35.7018,94.6319,58.9261,698.22,0.0346987,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,38.6353,-88.0959,271.323,500.47,395.52,339.26,161.21,1185.86,602.99,37.1008,96.9244,59.8191,685.39,0.032217,0,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,38.6178,-88.0981,271.511,497.58,392.55,337.28,160.3,1195.94,604.05,35.0322,93.6593,58.6231,698.36,0.032165,0,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
