# Drug name and concentration: 1: Verapamil at 81μM
# GNa:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GNaL:
#   EC50/IC50: 7028
#   Hill Coefficient: 1.031
# Gto:
#   EC50/IC50: 13430
#   Hill Coefficient: 0.8222
# GKr:
#   EC50/IC50: 295.6
#   Hill Coefficient: 0.9378
# GKs:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# GK1:
#   EC50/IC50: 348800000
#   Hill Coefficient: 0.2728
# Gncx:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# Pnak:
#   EC50/IC50: Infinity
#   Hill Coefficient: 1
# PCa:
#   EC50/IC50: 201.8
#   Hill Coefficient: 1.097
# Stimulus Phase: 0
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 0
# Stimulus Phase: 1
#   Strength: 1
#   Duration: 0.5
#   Frequency: 2000
#   Cycles: 150
# Ca_o: 1.8
# K_o: 5.4
# Na_o: 140
Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,40.7908,-88.0296,265.939,323.13,262.25,237.51,85.62,849.37,392.93,127.682,200.123,72.4311,526.24,0.0548665,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595
2,40.5435,-88.0186,265.02,321.37,261.79,237.4,83.97,861.63,400.94,120.068,190.934,70.8573,540.26,0.056812,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285
3,40.2116,-88.007,264.309,321.92,261.94,237.28,84.64,855.29,396.47,123.771,195.617,71.837,533.37,0.0570175,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203
4,40.5085,-88.0093,264.384,315.64,257.32,233.52,82.12,857.28,397.09,121.348,192.417,71.0599,541.64,0.0582436,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719
5,40.4651,-88.0319,266.161,312.15,254.28,230.7,81.45,872.1,405.82,112.695,182.756,70.053,559.95,0.0598768,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734
6,40.493,-88.0394,266.722,318.97,259.42,235.03,83.94,879.08,411.44,110.398,180.152,69.7457,560.11,0.0584776,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177
7,40.262,-88.0173,264.996,318.86,259.13,234.9,83.96,871.23,406.28,114.192,184.41,70.2098,552.37,0.0591013,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573
8,40.6551,-88.0374,266.45,315.57,256.46,232.66,82.91,861.75,399.82,118.885,189.862,70.969,546.18,0.0573085,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129
9,40.7836,-88.0341,266.277,323.39,262.77,238.17,85.22,846.75,391.31,129.376,202.038,72.6529,523.36,0.0548583,0,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248
10,40.6021,-88.0393,266.462,321.48,261.22,236.89,84.59,870.4,406.47,115.344,185.723,70.3709,548.92,0.0553297,0,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015
