"","dose","beat","qNet","dvdtmax","vmax","vrest","APD50","APD90","max_dv","camax","carest","CaTD50","CaTD90","EADs","noDepols","noRepols","drug","sample"
"1",1,798,56.2542787569872,72.9256692706161,41.6998000196403,-88.0181250925751,286,353,-0.302473438000932,0.000236016680734234,7.46314183804982e-05,327,752,0,0,0,"bepridil",1
"2",2,974,45.346949724279,72.9539051282342,41.7363196877102,-88.0216926817415,329,413,-0.252635529976467,0.000233048320023961,7.45441685110423e-05,353,779,0,0,0,"bepridil",1
"3",3,926,38.3212363881802,72.9695402796599,41.9819946392502,-88.0249224027282,361,458,-0.224786193934315,0.000228636461988414,7.4243147172972e-05,375,805,0,0,0,"bepridil",1
"4",4,952,33.4769357532562,72.9740624835114,42.1369846022,-88.0277517042388,385,494,-0.206504566524387,0.000223982174324315,7.38734372492656e-05,395,830,0,0,0,"bepridil",1
"5",5,999,29.9739003871425,72.9702380867766,42.2248969850444,-88.0302281301102,404,524,-0.194663075418696,0.000219527403910131,7.34931054269949e-05,413,853,0,0,0,"bepridil",1
"6",6,928,27.3590766132336,72.9590065402153,42.2690954752653,-88.032441596415,420,549,-0.172584457589002,0.000215440966328666,7.31282209019932e-05,431,874,0,0,0,"bepridil",1
"7",7,871,25.3640216187526,72.9420341841583,42.2827431002798,-88.0344311060379,434,572,-0.154877835457548,0.000211738588010046,7.2786482442718e-05,447,893,0,0,0,"bepridil",1
"8",8,773,23.8211336368238,72.9193160103594,42.2747911331868,-88.0362498814877,446,591,-0.141182476088526,0.000208409087919841,7.24706431389318e-05,462,910,0,0,0,"bepridil",1
"9",9,937,22.6208806531132,72.8911217486705,42.2500903618462,-88.0379210717803,457,608,-0.130236016563954,0.000205406064312269,7.21792102183788e-05,477,926,0,0,0,"bepridil",1
"10",10,980,21.6845731718879,72.85846080937,42.2130385260164,-88.03947995777,466,624,-0.121225777760593,0.000202702482993764,7.19113940377889e-05,490,940,0,0,0,"bepridil",1
"11",15,947,19.4674863157313,72.6214925552803,41.9145589539815,-88.0461007834347,502,681,-0.0925446091944673,0.000192568043401169,7.08564697248773e-05,542,994,0,0,0,"bepridil",1
"12",20,992,19.4220264547875,72.2623353915096,41.5161272090809,-88.0515896811296,526,718,-0.0781074794445162,0.000186165177271525,7.01329861150842e-05,575,1028,0,0,0,"bepridil",1
"13",25,987,20.3484530113101,71.7744660232812,41.0697944517369,-88.0564510916041,543,742,-0.0703295986848362,0.000182021615816763,6.96178041066675e-05,595,1050,0,0,0,"bepridil",1
"14",1,862,56.2533232815061,72.8859309845048,41.6139146954179,-88.0190752192588,287,355,-0.301249633664213,0.00023420256907341,7.45040251826207e-05,329,754,0,0,0,"bepridil",2
"15",2,830,45.589608700378,72.8621036251465,41.6297037725927,-88.0229992691978,331,414,-0.251491419826704,0.000231208107223829,7.4390971635015e-05,354,781,0,0,0,"bepridil",2
"16",3,997,38.8169479356058,72.8201811037593,41.8470476611941,-88.0264669268648,362,459,-0.223997397532172,0.000227116672960574,7.40878914544768e-05,376,807,0,0,0,"bepridil",2
"17",4,986,34.2043708888838,72.7650797564098,41.9651418474354,-88.0294857793317,386,495,-0.205985816873954,0.000222927962874871,7.37290851194945e-05,396,831,0,0,0,"bepridil",2
"18",5,952,30.9089018467011,72.7006054585682,42.0197081300538,-88.0321237696825,405,524,-0.1943561573105,0.000218992677262192,7.33672358831225e-05,412,853,0,0,0,"bepridil",2
"19",6,964,28.4792404083569,72.6278078239036,42.0326048792704,-88.0344882507494,421,549,-0.173758017805551,0.000215418375863762,7.30230324462539e-05,428,873,0,0,0,"bepridil",2
"20",7,817,26.6484347779628,72.5484102562085,42.017771325751,-88.0365944552271,435,571,-0.156420654567001,0.000212204435076588,7.27025392354406e-05,443,891,0,0,0,"bepridil",2
"21",8,934,25.2520495697094,72.4637271239467,41.9830661370028,-88.0385230789513,447,590,-0.142999103724428,0.000209333283246547,7.24078632525466e-05,456,906,0,0,0,"bepridil",2
"22",9,916,24.1792160583429,72.3737294356421,41.9346210818854,-88.0403031054238,457,606,-0.132281559833647,0.000206762423631021,7.2137875132307e-05,468,921,0,0,0,"bepridil",2
"23",10,938,23.3547083879161,72.2794107632207,41.8749583366193,-88.0419472589453,466,621,-0.123477863099788,0.00020445748895313,7.18905217896783e-05,480,934,0,0,0,"bepridil",2
"24",15,997,21.4868801172377,71.7522177954575,41.490982450307,-88.0488819156187,501,677,-0.0953764680240218,0.000195856108822512,7.09199797264801e-05,525,983,0,0,0,"bepridil",2
"25",20,931,21.5286195427798,71.1502347250654,41.0475862122789,-88.0544637282692,525,712,-0.0809803223764571,0.000190391228530104,7.02534058131056e-05,554,1015,0,0,0,"bepridil",2
"26",25,992,22.3802690962581,70.4910063589947,40.5913226553961,-88.0592551137472,542,736,-0.0729829776354083,0.000186744960733954,6.97728946280263e-05,571,1034,0,0,0,"bepridil",2
"27",1,796,54.7864616323096,72.8637097580563,41.6939604520943,-88.0170784253674,290,359,-0.298785222743429,0.000240569681087216,7.49065919964824e-05,325,748,0,0,0,"bepridil",3
"28",2,998,44.1902754157469,72.8203658745807,41.7869300839491,-88.0201128271454,332,416,-0.25228099653902,0.000239732130392872,7.49128179639325e-05,347,772,0,0,0,"bepridil",3
"29",3,857,37.4574114722291,72.7618027081618,42.0329392583615,-88.0228599053167,361,458,-0.226399901415166,0.000237118387457935,7.47028341655209e-05,365,796,0,0,0,"bepridil",3
