Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa
1,36.9724,-88.1196,181.565,216.33,174.45,162.42,53.91,525.38,201.55,441.298,529.552,88.2545,309.05,0.0677826,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236
2,45.2223,-88.1157,333.415,216.03,172.91,160.49,55.54,592.56,251.4,251.319,335.952,84.631,376.53,0.0772825,0,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088
4,40.4656,-88.1505,277.42,263.75,206.73,189.5,74.25,535.08,209.03,410.549,505.603,95.0538,271.33,0.0652797,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312
5,36.2875,-88.0873,160.253,264.09,215.53,200.28,63.81,620.75,273.2,204.53,280.957,76.4265,356.66,0.0629959,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413
6,40.9116,-87.7376,307.649,305.89,231.04,203.88,102.01,641,295.43,203.742,292.751,89.0103,335.11,0.0767074,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117
9,37.2061,-87.8676,160.747,231.72,181.68,168.89,62.83,512.94,198.04,484.97,570.415,85.4444,281.22,0.0613239,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955
10,31.7397,-87.7928,154.726,201.64,156.09,142.89,58.75,618.23,256.45,201.631,284.412,82.7802,416.59,0.0804114,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509
14,36.9964,-87.6796,207.336,215.59,170.14,157.72,57.87,504.77,191.98,517.548,608.365,90.8169,289.18,0.0755206,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432
20,39.3968,-87.7333,224.267,386.51,279.73,251.34,135.17,532.35,208.87,440.746,528.078,87.3327,145.84,0.0480239,0,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439
22,36.7062,-88.2122,203.533,239.83,185.46,172.47,67.36,536.77,210.23,398.478,485.585,87.1069,296.94,0.0702427,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187
24,42.3445,-87.7572,309.497,220.41,166.21,153.29,67.12,568.92,233.61,298.96,385.395,86.4359,348.51,0.0786938,0,0,24,1.37105,1.49213,0.747794,1.47849,1.2575,0.59586,1.13521,0.501402,1.11469
27,42.0251,-87.8648,300.883,383.29,284.96,256.98,126.31,568.07,231.74,352.172,438.515,86.3434,184.78,0.0540386,0,0,27,1.25585,0.598904,1.31387,0.59768,0.713975,0.774301,1.35939,0.762138,1.27372
28,43.3665,-88.1363,291.311,377.55,280.84,254.56,122.99,609.43,268.89,265.289,348.688,83.3979,231.88,0.050555,0,0,28,1.13371,0.531424,0.696756,0.633101,0.514713,0.668328,1.21347,1.24446,1.23375
29,38.6145,-88.0448,238.333,264.27,202.58,185.57,78.7,500.14,187.77,540.21,637.129,96.9179,235.87,0.0716954,0,0,29,0.924752,0.572415,1.0307,0.923424,0.675227,0.946268,0.585204,1.04201,0.993049
31,39.7157,-88.2258,222.638,313.53,237.13,216.77,96.76,538.52,208.81,410.691,501.776,91.0848,224.99,0.0534769,0,0,31,0.839924,1.19758,0.540567,0.845105,0.78175,0.638315,0.722195,1.33211,1.01411
33,39.0424,-88.1635,139.651,394.46,299.99,271.82,122.64,543.35,207.34,414.278,498.743,84.4654,148.89,0.0342445,0,0,33,0.549514,1.184,1.09956,0.579307,0.934161,0.728757,1.03587,1.2644,1.07355
37,38.5596,-87.7641,267.593,199.06,153.25,141.53,57.53,506.41,191.3,503.594,601.126,97.5319,307.35,0.0876195,0,0,37,1.12935,0.8875,1.44939,1.45325,0.656871,0.961389,0.635251,0.576288,0.939036
39,37.563,-87.7191,172.738,358.28,275.87,247.32,110.96,522.21,198.22,476.814,566.897,90.0841,163.93,0.0527462,0,0,39,0.713196,0.904481,0.553781,0.566011,0.814421,1.17739,0.937396,0.567539,0.906994
40,41.776,-88.0987,290.523,243.32,184.4,170.56,72.76,503.37,193.35,516.682,610.121,93.4387,260.05,0.0717859,0,0,40,1.17429,0.704558,1.32276,1.19118,1.40784,0.658034,0.790856,0.971838,1.37901
42,40.0072,-88.1489,195.747,302.9,235.67,216.2,86.7,503.72,189.31,535.732,625.066,89.3338,200.82,0.0515991,0,0,42,0.742768,0.674059,0.713808,0.799616,1.09805,1.0172,0.779429,1.3845,1.36293
43,44.4245,-87.9399,355.371,267.47,209.73,191.07,76.4,610.12,270.95,237.13,323.127,85.9974,342.65,0.0723132,0,0,43,1.49368,0.957627,1.33864,0.953683,0.721374,1.43402,1.0162,0.985136,1.00321
44,40.3895,-88.1079,236.472,263.45,203.46,188.83,74.62,569.61,237.22,303.675,386.361,82.6863,306.16,0.0586792,0,0,44,0.94732,1.48203,0.738099,1.28761,0.761784,0.58177,1.24291,0.922959,1.24386
48,36.274,-88.0004,151.901,367.87,282.04,255.86,112.01,622.34,275.95,227.653,306.725,79.0719,254.47,0.0482935,0,0,48,0.604991,1.08159,1.13286,0.624544,0.86557,0.820148,1.30413,0.940669,0.778358
49,45.0922,-88.0058,334.463,297.53,233.36,213.8,83.73,559.18,232.77,346.517,433.956,87.4392,261.65,0.05277,0,0,49,1.37622,1.29656,0.951004,0.907675,1.41294,1.19407,1.14687,1.13365,1.45076
50,40.8316,-87.7592,271.994,251.2,193.88,178.58,72.62,572.89,238.62,296.44,381.573,85.1326,321.69,0.0766827,0,0,50,1.14857,0.584343,0.689181,1.1136,0.704262,0.960976,1.17044,0.610107,1.08219
51,37.8079,-87.9115,173.337,255.77,200.16,184.42,71.35,534.51,209,412.319,499.098,86.7792,278.74,0.058804,0,0,51,0.70162,1.44755,0.604588,1.11681,1.3096,1.00119,0.903256,0.788425,1.05556
52,37.9804,-88.0156,210.648,303.1,240.9,222.47,80.63,578.76,245.42,292.304,373.32,81.0159,275.66,0.055281,0,0,52,0.827536,0.97726,1.41491,0.876196,1.31226,1.11097,1.34316,1.09827,1.18682
53,39.5019,-88.0708,229.103,225.09,182.85,170.28,54.81,486.46,182.25,598.802,691.127,92.3255,261.37,0.0619753,0,0,53,0.888628,1.1726,1.08794,1.35344,1.03533,1.49504,0.677542,1.32256,1.43156
55,32.5813,-87.9368,142.216,350.43,258.72,232.74,117.69,602.17,252.61,257.684,342.869,85.1855,251.74,0.0645415,0,0,55,0.573091,0.6289,0.967936,0.567626,0.871663,0.680532,0.845302,0.740433,0.527537
56,41.8762,-88.217,259.821,345.97,255.78,233.53,112.44,615.04,275.48,239.716,321.68,81.9611,269.07,0.0544202,0,0,56,0.998344,0.784505,0.566292,0.773854,0.556441,0.502434,1.18801,1.22403,1.09541
57,38.7858,-87.7417,259.956,296.95,220.42,197.07,99.88,509.81,192.18,505.168,609.696,104.53,212.86,0.0693702,0,0,57,1.08093,1.38975,0.872894,0.749244,0.898956,0.903629,0.52438,0.539359,0.669498
58,39.2143,-87.9711,177.967,287.27,231.58,213.52,73.75,529.77,206.82,433.356,519.358,86.0017,242.5,0.0500406,0,0,58,0.70588,1.16657,0.652004,0.967149,0.668461,1.3904,0.976337,1.0302,1.22257
59,35.223,-88.1488,201.198,226.98,174.3,160.55,66.43,549.81,213.95,360.984,452.691,91.7057,322.83,0.0789471,0,0,59,0.764302,0.775887,1.11102,1.1809,0.52598,0.839524,0.58191,1.23317,0.742455
60,39.5219,-87.9898,170.783,342.81,272.06,248.29,94.52,531.35,204.84,439.943,525.476,85.5331,188.54,0.0423822,0,0,60,0.674204,1.02816,0.828115,0.696087,0.878329,1.25779,1.06143,1.05864,1.21559
64,42.851,-88.1205,275.713,232.03,181.46,168.96,63.07,608.69,265.86,216.574,294.798,78.2245,376.66,0.0698765,0,0,64,1.09438,0.794485,0.548548,1.39779,1.38659,0.796828,1.39338,1.16675,1.35082
65,39.2394,-87.8255,253.607,279.56,219.8,200.37,79.19,566.46,231.77,325.885,415.522,89.6373,286.9,0.0716104,0,0,65,1.0338,0.688069,0.836743,0.823337,0.777259,1.42242,0.88078,0.733529,0.868191
67,44.8632,-87.8689,334.013,310.94,237.04,214.34,96.6,546.11,219.35,391.263,484.179,92.916,235.17,0.0652917,0,0,67,1.40488,0.526133,0.676295,0.694201,1.11378,1.2074,0.922511,0.82256,1.19239
68,39.1932,-88.1191,252.463,209.23,166.91,154.72,54.51,578.29,234.93,281.499,368.695,87.196,369.06,0.0795982,0,0,68,0.965582,0.889342,1.06151,1.38957,0.594989,1.31746,0.757656,1.39949,0.923061
71,36.1591,-87.9915,154.178,238.9,186.34,172.91,65.99,512.64,196.22,489.614,576.413,86.7996,273.74,0.0627276,0,0,71,0.627836,1.15888,1.38397,1.27081,1.006,0.830579,0.866953,0.841628,1.16022
72,35.368,-87.9576,119.477,267.82,215.02,198.61,69.21,557.17,223.54,341.935,423.61,81.675,289.35,0.0592718,0,0,72,0.503281,0.922562,1.47813,0.973099,1.26185,1.34755,1.068,0.966409,0.947625
74,38.5645,-88.0209,228.517,292.33,223.06,204.99,87.34,500.5,191.09,539.187,629.038,89.8514,208.17,0.0586142,0,0,74,0.90717,0.750623,1.47323,0.866747,1.44579,0.806922,0.921863,0.935355,1.39523
75,44.5205,-88.1214,320.497,240.23,191.88,178.2,62.03,573.3,240.74,293.902,378.549,84.6476,333.07,0.063634,0,0,75,1.28279,1.21155,0.931139,1.32387,1.48167,1.15726,1.10615,1.41389,1.44653
79,41.4191,-87.979,267.413,338.82,271.44,248.31,90.51,605.74,269.87,258.719,339.7,80.9801,266.92,0.0528341,0,0,79,1.06072,0.571216,1.00719,0.709194,0.605073,1.47904,1.41872,1.13247,1.25721
