Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa,drug,cnet,dose
1,39.0482,-88.1729,154.197,684.14,508.62,409.75,274.39,870.62,270.56,267.277,346.58,79.2905,186.48,0.0271475,0,0,1,0.698716,1.01134,0.978925,1.35698,1.24229,1.36012,0.700452,1.40027,1.13236,bepridil,31.5,25
2,43.0388,-88.1893,295.685,945.54,659.01,425.89,519.65,1317.08,848.69,113.731,181.573,68.7754,371.54,0.0290368,0,0,2,1.32916,0.618259,0.680672,1.41947,0.736857,1.35337,0.981452,1.46718,1.27088,bepridil,31.5,25
4,37.6904,-88.1965,242.507,843.86,619.81,447.11,396.75,1112.59,427.62,165.835,242.811,76.9601,268.73,0.0219371,0,0,4,1.065,1.35064,1.43676,1.02166,0.886777,1.10254,0.63188,1.44478,0.960312,bepridil,31.5,25
5,37.3475,-88.1661,134.093,839.59,667.01,468.36,371.23,1060.17,635.38,92.4557,161.269,63.5459,220.58,0.013859,0,0,5,0.626144,0.84137,1.31771,1.06523,0.756123,1.44616,1.30788,1.36701,0.929413,bepridil,31.5,25
6,37.8282,-87.8703,268.208,870.37,664.26,465.1,405.27,1231.67,757.82,100.936,173.229,72.2807,361.3,0.0351497,0,0,6,1.3041,0.898694,0.95934,0.611217,0.627088,1.43325,0.746303,0.559261,0.548117,bepridil,31.5,25
9,39.212,-87.8926,135.362,908.1,612.73,434.67,473.43,1016.49,269.62,277.136,352.617,75.4595,108.39,0.00707083,0,0,9,0.668078,1.32809,1.00135,1.37704,1.17536,0.881394,1.00129,0.682827,1.2955,bepridil,31.5,25
10,32.3752,-87.8726,129.073,717.24,543.91,435.51,281.73,1001.8,450.19,137.929,212.275,74.3337,284.56,0.0296607,0,0,10,0.640383,1.42469,0.790927,1.38253,0.985211,1.07405,0.770907,0.580445,0.502509,bepridil,31.5,25
14,37.7302,-87.781,178.155,753.38,542.01,412.62,340.76,907.19,263.44,297.722,378.94,81.1996,153.81,0.0259349,0,0,14,0.874694,0.94465,0.934225,1.34028,1.07286,1.21154,0.825917,0.531405,1.13432,bepridil,31.5,25
20,28.2763,-19.3635,79.9968,1867.97,110.05,81.39,1786.58,1627.01,708.37,12.6075,135.575,120.738,-240.96,-0.0481399,1,0,20,0.939491,1.27055,0.596076,0.642641,0.978897,0.557006,1.3213,0.521269,1.16439,bepridil,31.5,25
22,37.7128,-88.1495,174.543,828.22,561.13,419.6,408.62,995.76,338.68,205.447,280.735,75.2731,167.54,0.0282552,0,0,22,0.78031,0.734109,1.45535,1.22921,1.16057,0.704971,0.828635,1.2789,1.15187,bepridil,31.5,25
24,40.4282,-87.7647,273.391,930.42,589.14,398.29,532.13,1166.62,672.78,130.723,201.532,70.7912,236.2,0.0210949,0,0,24,1.37105,1.49213,0.747794,1.47849,1.2575,0.59586,1.13521,0.501402,1.11469,bepridil,31.5,25
27,27.4462,-20.3438,80.0218,1489.63,672.09,95.64,1393.99,1809.95,1236.97,16.7552,125.344,108.557,320.32,-0.067859,1,0,27,1.25585,0.598904,1.31387,0.59768,0.713975,0.774301,1.35939,0.762138,1.27372,bepridil,31.5,25
28,28.6406,-18.5422,80.006,1451.59,124.6,92.34,1359.25,1788.71,1172.88,10.8005,114.917,104.077,337.12,-0.065688,1,0,28,1.13371,0.531424,0.696756,0.633101,0.514713,0.668328,1.21347,1.24446,1.23375,bepridil,31.5,25
29,37.5238,-88.0896,205.562,939.92,659.33,443.96,495.96,1113.65,307.61,232.402,312.63,80.2025,173.73,0.0269146,0,0,29,0.924752,0.572415,1.0307,0.923424,0.675227,0.946268,0.585204,1.04201,0.993049,bepridil,31.5,25
31,40.7249,-19.2161,191.965,1977.16,301.68,255.25,1721.91,593.11,2000,148.642,218.971,145.318,-1384.05,-0.109087,1,0,31,0.839924,1.19758,0.540567,0.845105,0.78175,0.638315,0.722195,1.33211,1.01411,bepridil,31.5,25
33,26.8571,-88.1657,80.2785,727.43,514.89,378.75,348.68,394.41,292.98,27.1787,145.131,64.8388,-333.02,0.0529722,0,0,33,0.549514,1.184,1.09956,0.579307,0.934161,0.728757,1.03587,1.2644,1.07355,bepridil,31.5,25
37,35.9883,-87.8366,233.558,776.66,557.4,421.41,355.25,960.92,296.78,260.161,344.645,84.4606,184.26,0.0335151,0,0,37,1.12935,0.8875,1.44939,1.45325,0.656871,0.961389,0.635251,0.576288,0.939036,bepridil,31.5,25
39,27.2645,-87.8632,80.0049,666.03,493.77,318.77,347.26,185.23,168.12,3.17229,138.135,67.9404,-480.8,0.078305,0,0,39,0.713196,0.904481,0.553781,0.566011,0.814421,1.17739,0.937396,0.567539,0.906994,bepridil,31.5,25
40,39.3046,-88.0455,255.022,828.23,515.62,385.36,442.87,987.14,331.85,228.318,307.153,78.8143,158.91,0.0342069,0,0,40,1.17429,0.704558,1.32276,1.19118,1.40784,0.658034,0.790856,0.971838,1.37901,bepridil,31.5,25
42,41.2658,-88.1735,164.863,863.39,544.54,400.31,463.08,947.09,254.81,250.086,330.528,75.0731,83.7,0.0157805,0,0,42,0.742768,0.674059,0.713808,0.799616,1.09805,1.0172,0.779429,1.3845,1.36293,bepridil,31.5,25
43,41.7815,-88.0335,314.469,1589.7,1344.37,1073.65,516.05,1923,1466.91,107.427,175.094,74.7503,333.3,-0.00046298,1,0,43,1.49368,0.957627,1.33864,0.953683,0.721374,1.43402,1.0162,0.985136,1.00321,bepridil,31.5,25
44,41.3513,-15.4231,206.608,1852.64,295.1,246.64,1606,2000,2000,108.035,171.94,123.637,147.36,-0.121752,1,0,44,0.94732,1.48203,0.738099,1.28761,0.761784,0.58177,1.24291,0.922959,1.24386,bepridil,31.5,25
48,29.421,-88.0567,79.9876,659.89,448.19,295.4,364.49,180.86,171.43,1.20018,115.399,61.5278,-479.03,0.0818501,0,0,48,0.604991,1.08159,1.13286,0.624544,0.86557,0.820148,1.30413,0.940669,0.778358,bepridil,31.5,25
49,42.6951,-88.07,292.326,1239.17,1012.9,908.79,330.38,1468.76,962.36,155.261,226.209,70.9409,229.59,-0.00173567,1,0,49,1.37622,1.29656,0.951004,0.907675,1.41294,1.19407,1.14687,1.13365,1.45076,bepridil,31.5,25
50,27.929,-87.8714,79.971,644.39,462.14,291.37,353.02,167.11,155.71,1.71184,129.699,65.2467,-477.28,0.0809222,0,0,50,1.14857,0.584343,0.689181,1.1136,0.704262,0.960976,1.17044,0.610107,1.08219,bepridil,31.5,25
51,39.4773,-87.9638,146.693,822.97,567.81,419.39,403.58,1002.68,326.11,212.685,287.799,75.0974,179.71,0.0131061,0,0,51,0.70162,1.44755,0.604588,1.11681,1.3096,1.00119,0.903256,0.788425,1.05556,bepridil,31.5,25
52,38.427,-88.0716,179.832,1372.75,1151.67,964.83,407.92,1636.99,1065.33,121.671,187.007,67.5153,264.24,-0.00286183,1,0,52,0.827536,0.97726,1.41491,0.876196,1.31226,1.11097,1.34316,1.09827,1.18682,bepridil,31.5,25
53,40.6683,-88.1426,198.293,746.72,546.87,427.11,319.61,919.62,250.04,311.744,393.117,81.3569,172.9,0.0176293,0,0,53,0.888628,1.1726,1.08794,1.35344,1.03533,1.49504,0.677542,1.32256,1.43156,bepridil,31.5,25
55,31.3683,-87.9725,117.054,983.31,707.72,504.41,478.9,1183.07,546.86,116.282,186.311,70.0174,199.76,0.0269867,0,0,55,0.573091,0.6289,0.967936,0.567626,0.871663,0.680532,0.845302,0.740433,0.527537,bepridil,31.5,25
56,27.2251,-21.0834,79.9779,1116.96,761.05,678.44,438.52,1963.52,1323.72,18.1602,126.755,108.537,846.56,-0.066567,1,0,56,0.998344,0.784505,0.566292,0.773854,0.556441,0.502434,1.18801,1.22403,1.09541,bepridil,31.5,25
