Param#,Peak Voltage,RMP,Max Upstroke Velocity,APD1,APD2,APD3,Tri90-40,CTD90,CTD50,CaTamp,CaTmax,CaiD,EMw,qNet,EAD,Depolarization,Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,Pnak,PCa,drug,cnet,dose
1,41.0837,-88.0335,266.994,493.5,386.02,332.15,161.35,911.73,460.2,134.962,208.291,73.3181,418.23,0.0289384,0,0,1,1.045,1.02135,0.96461,0.997549,1.03932,0.984879,0.963929,1.02386,1.02595,bepridil,31.5,15
2,40.8555,-88.0226,266.045,493.71,388.88,335.13,158.58,924.11,470.41,127.47,199.396,71.9152,430.4,0.0303661,0,0,2,0.989232,0.972732,0.98697,0.999216,0.997203,1.02076,1.03404,0.997939,1.0285,bepridil,31.5,15
3,40.419,-88.0115,265.372,496.28,391.11,336.59,159.69,919.39,466.52,131.207,204.054,72.8357,423.11,0.0303327,0,0,3,0.994848,0.98665,1.04509,0.993513,0.965132,1.01001,0.987223,0.964972,0.986203,bepridil,31.5,15
4,40.8141,-88.0134,265.418,489.2,386.08,333.26,155.94,918.43,465.63,129.503,201.728,72.2141,429.23,0.0311721,0,0,4,0.982776,0.963687,0.970274,1.02745,0.978316,1.03209,1.02756,0.975382,1.02719,bepridil,31.5,15
5,40.6898,-88.0354,267.187,485.38,383.55,331.67,153.71,933.82,476.45,119.674,190.946,71.2625,448.44,0.0326499,0,0,5,1.03866,0.968743,0.97292,1.04222,0.993322,1.02222,1.02611,1.02167,0.973734,bepridil,31.5,15
6,40.6995,-88.0429,267.724,488.63,384.94,332.17,156.46,940.95,481.85,116.543,187.409,70.8562,452.32,0.0324486,0,0,6,0.973688,0.975176,0.974108,0.998904,1.04321,1.01306,1.03227,1.03939,0.963177,bepridil,31.5,15
7,40.4813,-88.0209,266.045,495.47,390.31,336.47,159,935.54,478.85,121.149,192.521,71.3613,440.07,0.0319357,0,0,7,0.984353,0.953495,1.00142,1.00771,0.952361,0.985216,1.03531,0.981961,0.972573,bepridil,31.5,15
8,40.904,-88.0406,267.474,486.88,382.24,330.16,156.72,922.19,467.86,126.203,198.274,72.0604,435.31,0.0306723,0,0,8,1.01389,1.00877,0.988507,1.03998,1.04529,0.98104,1.00541,1.04075,1.01129,bepridil,31.5,15
9,41.0538,-88.0383,267.38,499.24,391.49,336.93,162.31,912.92,461.57,136.59,210.101,73.4994,413.68,0.0278137,0,0,9,1.01083,1.01752,0.985172,1.01088,0.957194,0.977712,0.95749,1.03633,1.03248,bepridil,31.5,15
10,40.9016,-88.0423,267.498,495.91,389.09,335.55,160.36,934.19,477.95,122.042,193.485,71.4324,438.28,0.0285163,0,0,10,1.04744,1.03671,1.00692,1.02656,1.01438,0.957383,1.0286,1.04388,1.0015,bepridil,31.5,15
11,40.5654,-88.0082,265.107,496.88,390.05,335.75,161.13,925.19,470.97,127.748,200.464,72.7052,428.31,0.0287368,0,0,11,0.999734,1.04267,0.9756,1.03061,0.960446,0.959836,0.978725,0.951318,0.955042,bepridil,31.5,15
12,40.8752,-88.0328,267.071,486.77,384.05,331.75,155.02,914.74,462.36,131.529,204.564,73.0238,427.97,0.0314335,0,0,12,1.02381,0.976382,0.958791,1.04814,0.956711,1.02357,0.965864,1.01815,1.00066,bepridil,31.5,15
13,40.6339,-88.0307,266.877,497.53,392.53,338.06,159.47,924.76,471.12,128.72,201.146,72.4144,427.23,0.0300431,0,0,13,1.01865,0.977833,1.03422,0.994956,0.950468,1.01642,0.996444,1.01424,1.00247,bepridil,31.5,15
14,40.5412,-88.0287,266.456,484.24,382.18,330.4,153.84,934.67,476.67,118.418,189.396,70.9677,450.43,0.0336054,0,0,14,1.03075,0.955669,0.99066,1.02885,1.02624,1.01555,1.04383,1.0041,0.970749,bepridil,31.5,15
15,40.8573,-88.0291,266.508,489.99,385.98,332.77,157.22,920.67,467.19,128.801,201.386,72.574,430.68,0.0306245,0,0,15,0.967041,0.992206,0.96035,1.01327,0.999814,1.02525,0.985053,1.00987,0.997721,bepridil,31.5,15
16,40.8939,-88.0346,266.957,492.19,386.78,333.82,158.37,922.25,468.61,127.856,199.953,72.0863,430.06,0.028587,0,0,16,0.980933,1.03551,1.02435,1.03885,1.02176,0.97915,1.0186,1.02953,1.02682,bepridil,31.5,15
17,40.8158,-88.0109,265.187,485.77,382.89,330.47,155.3,914.79,462.36,130.4,202.733,72.3222,429.02,0.030946,0,0,17,0.975087,0.989229,0.983212,1.0226,1.04271,1.0383,1.02573,0.972316,1.02942,bepridil,31.5,15
18,40.9215,-88.0443,267.915,496.49,390.65,336.09,160.4,930.63,475.5,125.352,197.695,72.3326,434.14,0.0299087,0,0,18,1.02754,0.995301,0.953496,0.979427,0.986711,1.0189,0.973556,1.04535,0.979146,bepridil,31.5,15
19,40.5545,-88.0091,265.1,490.04,386.39,332.68,157.36,908.56,457.39,136.131,209.605,73.4623,418.52,0.0298762,0,0,19,0.988731,1.01524,1.02859,0.995752,1.02946,1.04598,0.969784,0.965667,1.0034,bepridil,31.5,15
20,40.7033,-88.0162,265.446,488.73,386.63,333.74,154.99,921.11,467.56,128.087,200.269,72.1708,432.38,0.0286028,0,0,20,0.963064,1.04882,1.03119,1.03474,1.02833,1.04929,1.02087,0.986984,1.00852,bepridil,31.5,15
21,40.6077,-88.0089,265.125,498.47,393.71,338.55,159.92,933.69,478.23,123.776,195.428,71.6418,435.22,0.0310238,0,0,21,0.992863,0.950997,0.966825,0.967273,0.955106,1.04376,1.03602,0.957388,0.985727,bepridil,31.5,15
22,40.769,-88.0047,264.811,500.46,394.54,338.89,161.57,906.88,456.35,141.289,215.115,73.8146,406.42,0.0268649,0,0,22,0.981055,1.03302,1.03266,0.97651,0.977462,1.04777,0.975026,0.960767,1.03846,bepridil,31.5,15
